Gravity:,Y,,,,,,
Grid #,Type,X[m],Y[m],Z[m],RX[rad],RY[rad],Rz[rad]
110000,G,5.0302E-06,-3.7666E-04,-2.3337E-05,-5.4925E-05,-3.8607E-06,-1.5516E-06
110001,G,5.0190E-06,-3.7670E-04,-2.3243E-05,-5.4953E-05,-3.5985E-06,-1.5568E-06
110002,G,5.0056E-06,-3.7663E-04,-2.2064E-05,-5.5161E-05,-4.2123E-06,-1.5584E-06
110003,G,4.9947E-06,-3.7667E-04,-2.1961E-05,-5.5196E-05,-4.0328E-06,-1.5552E-06
110004,G,4.9838E-06,-3.7672E-04,-2.1865E-05,-5.5326E-05,-3.6326E-06,-1.5481E-06
110005,G,5.0539E-06,-3.7669E-04,-2.4615E-05,-5.4832E-05,-3.5001E-06,-1.5664E-06
110006,G,5.0432E-06,-3.7673E-04,-2.4531E-05,-5.4848E-05,-3.2153E-06,-1.5582E-06
110007,G,5.0082E-06,-3.7675E-04,-2.3157E-05,-5.5100E-05,-3.2881E-06,-1.5507E-06
110008,G,4.9730E-06,-3.7676E-04,-2.1777E-05,-5.5356E-05,-3.4136E-06,-1.5417E-06
110009,G,4.9803E-06,-3.7660E-04,-2.0794E-05,-5.5347E-05,-4.5511E-06,-1.5548E-06
110010,G,4.9698E-06,-3.7665E-04,-2.0682E-05,-5.5434E-05,-4.4189E-06,-1.5574E-06
110011,G,4.9591E-06,-3.7669E-04,-2.0577E-05,-5.5535E-05,-4.0088E-06,-1.5485E-06
110012,G,4.9483E-06,-3.7673E-04,-2.0479E-05,-5.5566E-05,-3.7970E-06,-1.5407E-06
110013,G,4.9376E-06,-3.7677E-04,-2.0389E-05,-5.5680E-05,-3.4223E-06,-1.5322E-06
110014,G,5.0779E-06,-3.7672E-04,-2.5899E-05,-5.4552E-05,-3.0894E-06,-1.5701E-06
110015,G,5.0681E-06,-3.7677E-04,-2.5826E-05,-5.4608E-05,-2.7761E-06,-1.5558E-06
110016,G,5.0328E-06,-3.7678E-04,-2.4455E-05,-5.4994E-05,-2.8705E-06,-1.5507E-06
110017,G,4.9977E-06,-3.7679E-04,-2.3079E-05,-5.5130E-05,-2.9836E-06,-1.5409E-06
110018,G,4.9624E-06,-3.7680E-04,-2.1696E-05,-5.5488E-05,-3.0304E-06,-1.5324E-06
110019,G,4.9271E-06,-3.7681E-04,-2.0306E-05,-5.5703E-05,-3.1596E-06,-1.5234E-06
110020,G,4.9551E-06,-3.7658E-04,-1.9527E-05,-5.5661E-05,-5.0009E-06,-1.5445E-06
110021,G,4.9448E-06,-3.7662E-04,-1.9406E-05,-5.5729E-05,-4.7055E-06,-1.5481E-06
110022,G,4.9341E-06,-3.7666E-04,-1.9292E-05,-5.5786E-05,-4.4191E-06,-1.5446E-06
110023,G,4.9234E-06,-3.7670E-04,-1.9185E-05,-5.5831E-05,-4.1363E-06,-1.5387E-06
110024,G,4.9128E-06,-3.7674E-04,-1.9085E-05,-5.5931E-05,-3.8213E-06,-1.5306E-06
110025,G,4.9022E-06,-3.7678E-04,-1.8993E-05,-5.5963E-05,-3.5304E-06,-1.5225E-06
110026,G,4.8917E-06,-3.7683E-04,-1.8909E-05,-5.6072E-05,-3.1944E-06,-1.5140E-06
