Gravity:,Z,,,,,,
Grid #,Type,X[m],Y[m],Z[m],RX[rad],RY[rad],Rz[rad]
105057,G,1.9498E-08,-6.2564E-06,-3.9868E-05,1.3667E-05,5.1376E-06,4.8462E-07
105058,G,-4.4723E-08,-6.3696E-06,-3.9243E-05,1.5807E-05,3.6432E-06,4.0654E-07
105059,G,-4.5870E-08,-6.3037E-06,-3.9623E-05,1.4691E-05,3.5100E-06,3.8398E-07
105060,G,-1.1464E-07,-6.3592E-06,-3.9310E-05,1.5743E-05,1.7911E-06,2.6820E-07
105061,G,-1.8780E-07,-6.4217E-06,-3.8926E-05,1.6761E-05,-3.1930E-08,1.2847E-07
105062,G,-1.8448E-07,-6.3536E-06,-3.9332E-05,1.5768E-05,3.4428E-09,1.3352E-07
105063,G,-2.5989E-07,-6.4206E-06,-3.8905E-05,1.6833E-05,-1.8248E-06,-1.4188E-08
105064,G,-3.3229E-07,-6.4246E-06,-3.8836E-05,1.6890E-05,-3.7325E-06,-1.7615E-07
105065,G,1.8184E-06,-6.8088E-06,-3.1998E-05,1.8856E-05,4.1161E-05,1.4344E-06
105066,G,1.9333E-06,-6.8213E-06,-3.1433E-05,1.9530E-05,4.2749E-05,1.1641E-06
105067,G,2.0443E-06,-6.8339E-06,-3.0853E-05,2.0578E-05,4.4007E-05,8.4298E-07
105068,G,1.3368E-06,-6.6979E-06,-3.4388E-05,1.6896E-05,3.3138E-05,1.7553E-06
105069,G,1.2044E-06,-6.6275E-06,-3.5180E-05,1.6168E-05,3.1165E-05,1.7074E-06
105070,G,1.0763E-06,-6.5592E-06,-3.5928E-05,1.5555E-05,2.8483E-05,1.5567E-06
105071,G,9.5839E-07,-6.4959E-06,-3.6611E-05,1.4683E-05,2.6478E-05,1.4991E-06
105072,G,1.5444E-06,-6.7168E-06,-3.3491E-05,1.7289E-05,3.6841E-05,1.5769E-06
105073,G,1.4415E-06,-6.7073E-06,-3.3950E-05,1.6988E-05,3.5054E-05,1.6820E-06
105074,G,1.2974E-06,-6.6330E-06,-3.4801E-05,1.6262E-05,3.2746E-05,1.6148E-06
105075,G,1.3971E-06,-6.6429E-06,-3.4369E-05,1.6564E-05,3.4353E-05,1.4885E-06
105076,G,1.6512E-06,-6.7289E-06,-3.2995E-05,1.7763E-05,3.8376E-05,1.3946E-06
105077,G,1.4948E-06,-6.6532E-06,-3.3919E-05,1.7009E-05,3.5920E-05,1.3297E-06
105078,G,8.7823E-07,-6.4967E-06,-3.6878E-05,1.4918E-05,2.4908E-05,1.5207E-06
105079,G,7.7456E-07,-6.4404E-06,-3.7463E-05,1.4348E-05,2.2636E-05,1.3941E-06
105080,G,8.4831E-07,-6.4368E-06,-3.7238E-05,1.4101E-05,2.4090E-05,1.3688E-06
105081,G,6.7628E-07,-6.3877E-06,-3.8001E-05,1.3721E-05,2.0710E-05,1.3070E-06
105082,G,5.8439E-07,-6.3393E-06,-3.8489E-05,1.3227E-05,1.8616E-05,1.1890E-06
105083,G,5.1777E-07,-6.3511E-06,-3.8601E-05,1.3698E-05,1.7208E-05,1.1775E-06
105084,G,4.9791E-07,-6.2950E-06,-3.8929E-05,1.2693E-05,1.6786E-05,1.1001E-06
105085,G,4.3426E-07,-6.3095E-06,-3.9005E-05,1.3242E-05,1.5324E-05,1.0704E-06
105086,G,3.5553E-07,-6.2721E-06,-3.9362E-05,1.2845E-05,1.3465E-05,9.6006E-07
105087,G,1.4970E-07,-6.2389E-06,-3.9858E-05,1.2939E-05,8.4658E-06,6.8872E-07
105088,G,2.8084E-07,-6.2389E-06,-3.9674E-05,1.2447E-05,1.1686E-05,8.5699E-07
105089,G,2.0976E-07,-6.2098E-06,-3.9942E-05,1.2189E-05,9.9270E-06,7.4916E-07
105090,G,1.4159E-07,-6.1848E-06,-4.0167E-05,1.1930E-05,8.2191E-06,6.4565E-07
105091,G,8.1745E-08,-6.2170E-06,-4.0047E-05,1.2751E-05,6.7152E-06,5.7306E-07
105092,G,1.5965E-08,-6.1994E-06,-4.0193E-05,1.2583E-05,5.0272E-06,4.6383E-07
105093,G,-4.7123E-08,-6.2423E-06,-3.9975E-05,1.3545E-05,3.4473E-06,3.7166E-07
105094,G,-4.8371E-08,-6.1858E-06,-4.0296E-05,1.2467E-05,3.3322E-06,3.5186E-07
