Gravity:,Y,,,,,,
Grid #,Type,X[m],Y[m],Z[m],RX[rad],RY[rad],Rz[rad]
105000,G,5.3576E-06,-3.3160E-04,-8.2925E-06,-1.3768E-07,-1.4822E-06,-2.1263E-06
105001,G,5.3947E-06,-3.3173E-04,-8.2243E-06,-8.2777E-07,-6.9327E-07,-1.8014E-06
105002,G,5.2313E-06,-3.3132E-04,-8.6653E-06,1.6482E-06,-4.1282E-06,-2.8819E-06
105003,G,5.2378E-06,-3.3139E-04,-8.5687E-06,1.2083E-06,-3.6463E-06,-2.7692E-06
105004,G,5.3070E-06,-3.3150E-04,-8.3960E-06,5.2260E-07,-2.4093E-06,-2.4088E-06
105005,G,5.3547E-06,-3.3165E-04,-8.2574E-06,-4.4519E-07,-1.3026E-06,-2.0449E-06
105006,G,5.3070E-06,-3.3155E-04,-8.3385E-06,9.1386E-08,-2.1082E-06,-2.2506E-06
105007,G,5.3053E-06,-3.3160E-04,-8.2878E-06,-2.8482E-07,-1.8760E-06,-2.1661E-06
105008,G,5.3040E-06,-3.3165E-04,-8.2435E-06,-6.8110E-07,-1.6210E-06,-2.0737E-06
105009,G,5.3516E-06,-3.3170E-04,-8.2272E-06,-7.1299E-07,-1.0701E-06,-1.9479E-06
105010,G,5.3477E-06,-3.3174E-04,-8.2022E-06,-9.8042E-07,-8.6453E-07,-1.8487E-06
105011,G,5.3876E-06,-3.3177E-04,-8.2093E-06,-1.0561E-06,-4.7957E-07,-1.7237E-06
105012,G,5.3429E-06,-3.3178E-04,-8.1816E-06,-1.2069E-06,-7.3161E-07,-1.7766E-06
105013,G,5.3804E-06,-3.3182E-04,-8.1979E-06,-1.2102E-06,-4.0168E-07,-1.6939E-06
105014,G,5.0440E-06,-3.3110E-04,-9.1969E-06,2.9069E-06,-7.2308E-06,-3.7103E-06
105015,G,5.1550E-06,-3.3125E-04,-8.8282E-06,2.0125E-06,-5.1245E-06,-3.1443E-06
105016,G,5.0658E-06,-3.3118E-04,-9.0254E-06,2.1448E-06,-6.3635E-06,-3.4120E-06
105017,G,5.1655E-06,-3.3132E-04,-8.7044E-06,1.4466E-06,-4.7025E-06,-2.9512E-06
105018,G,5.1741E-06,-3.3138E-04,-8.5939E-06,8.2635E-07,-4.1791E-06,-2.7908E-06
105019,G,5.2436E-06,-3.3144E-04,-8.4820E-06,7.1508E-07,-3.2464E-06,-2.6130E-06
105020,G,5.1819E-06,-3.3144E-04,-8.4935E-06,2.6961E-07,-3.7891E-06,-2.6499E-06
105021,G,5.2479E-06,-3.3150E-04,-8.4047E-06,2.0634E-07,-2.8751E-06,-2.4582E-06
105022,G,5.2504E-06,-3.3155E-04,-8.3358E-06,-2.7174E-07,-2.5641E-06,-2.3304E-06
105023,G,5.3023E-06,-3.3170E-04,-8.2056E-06,-1.0007E-06,-1.3626E-06,-1.9780E-06
105024,G,5.2518E-06,-3.3160E-04,-8.2750E-06,-6.9510E-07,-2.2341E-06,-2.2036E-06
105025,G,5.2525E-06,-3.3165E-04,-8.2218E-06,-1.0172E-06,-1.9624E-06,-2.1071E-06
105026,G,5.2527E-06,-3.3170E-04,-8.1758E-06,-1.3454E-06,-1.6640E-06,-2.0084E-06
105027,G,5.3002E-06,-3.3174E-04,-8.1735E-06,-1.2885E-06,-1.1412E-06,-1.8892E-06
105028,G,5.2976E-06,-3.3179E-04,-8.1473E-06,-1.5119E-06,-9.1031E-07,-1.8021E-06
105029,G,5.3380E-06,-3.3182E-04,-8.1657E-06,-1.3974E-06,-5.0927E-07,-1.6987E-06
105030,G,5.2946E-06,-3.3183E-04,-8.1267E-06,-1.7021E-06,-7.0151E-07,-1.7259E-06
105031,G,5.3744E-06,-3.3186E-04,-8.1903E-06,-1.3430E-06,-1.9427E-07,-1.6152E-06
105032,G,5.3330E-06,-3.3186E-04,-8.1543E-06,-1.5552E-06,-3.7608E-07,-1.6430E-06
105033,G,5.3683E-06,-3.3190E-04,-8.1859E-06,-1.4338E-06,-1.3679E-07,-1.5753E-06
105034,G,5.3618E-06,-3.3193E-04,-8.1845E-06,-1.5026E-06,3.7170E-08,-1.5039E-06
105035,G,4.9390E-06,-3.3101E-04,-9.4683E-06,3.1138E-06,-8.7747E-06,-3.9085E-06
105036,G,4.9657E-06,-3.3109E-04,-9.2625E-06,2.3896E-06,-7.8520E-06,-3.6881E-06
105037,G,4.9899E-06,-3.3117E-04,-9.0726E-06,1.6960E-06,-7.1842E-06,-3.4681E-06
105038,G,4.8229E-06,-3.3091E-04,-9.7867E-06,3.2121E-06,-1.0483E-05,-4.2434E-06
105039,G,4.6925E-06,-3.3081E-04,-1.0145E-05,3.1878E-06,-1.2185E-05,-4.5606E-06
105040,G,4.5488E-06,-3.3069E-04,-1.0554E-05,2.9411E-06,-1.4178E-05,-4.7453E-06
105041,G,5.0829E-06,-3.3125E-04,-8.8717E-06,1.5649E-06,-5.8731E-06,-3.2126E-06
105042,G,5.0973E-06,-3.3131E-04,-8.7324E-06,8.8887E-07,-5.2260E-06,-2.9998E-06
105043,G,5.0106E-06,-3.3124E-04,-8.9021E-06,9.5880E-07,-6.4313E-06,-3.2309E-06
105044,G,5.1091E-06,-3.3137E-04,-8.6075E-06,3.4999E-07,-4.7933E-06,-2.8382E-06
105045,G,5.1195E-06,-3.3143E-04,-8.4937E-06,-1.7581E-07,-4.2573E-06,-2.6778E-06
105046,G,5.1883E-06,-3.3150E-04,-8.4037E-06,-2.2325E-07,-3.3446E-06,-2.5016E-06
105047,G,5.1284E-06,-3.3149E-04,-8.3916E-06,-6.7016E-07,-3.8568E-06,-2.5406E-06
105048,G,5.1935E-06,-3.3155E-04,-8.3236E-06,-6.5265E-07,-2.9909E-06,-2.3701E-06
105049,G,5.1975E-06,-3.3160E-04,-8.2526E-06,-1.0471E-06,-2.6257E-06,-2.2504E-06
105050,G,5.2525E-06,-3.3175E-04,-8.1369E-06,-1.6079E-06,-1.3908E-06,-1.9164E-06
105051,G,5.2006E-06,-3.3165E-04,-8.1904E-06,-1.4409E-06,-2.2974E-06,-2.1394E-06
105052,G,5.2029E-06,-3.3170E-04,-8.1365E-06,-1.7430E-06,-1.9598E-06,-2.0367E-06
105053,G,5.2048E-06,-3.3175E-04,-8.0908E-06,-2.0276E-06,-1.6467E-06,-1.9409E-06
105054,G,5.2519E-06,-3.3179E-04,-8.1049E-06,-1.8502E-06,-1.1273E-06,-1.8291E-06
105055,G,5.2508E-06,-3.3183E-04,-8.0796E-06,-2.0340E-06,-8.6149E-07,-1.7456E-06
105056,G,5.2914E-06,-3.3187E-04,-8.1117E-06,-1.8340E-06,-4.7238E-07,-1.6506E-06
105057,G,5.2495E-06,-3.3187E-04,-8.0609E-06,-2.1915E-06,-6.0603E-07,-1.6672E-06
105058,G,5.3283E-06,-3.3190E-04,-8.1474E-06,-1.6647E-06,-1.6732E-07,-1.5684E-06
105059,G,5.2882E-06,-3.3191E-04,-8.1021E-06,-1.9319E-06,-2.7079E-07,-1.5834E-06
105060,G,5.3233E-06,-3.3194E-04,-8.1448E-06,-1.7000E-06,-1.5087E-08,-1.5068E-06
105061,G,5.3548E-06,-3.3197E-04,-8.1867E-06,-1.5203E-06,1.5803E-07,-1.4417E-06
105062,G,5.3181E-06,-3.3198E-04,-8.1466E-06,-1.7270E-06,1.5507E-07,-1.4420E-06
105063,G,5.3476E-06,-3.3201E-04,-8.1922E-06,-1.4977E-06,2.6908E-07,-1.3811E-06
