Gravity:,X,,,,,,
Grid #,Type,X[m],Y[m],Z[m],RX[rad],RY[rad],Rz[rad]
105000,G,3.7134E-04,1.4923E-05,-1.2273E-06,-8.3505E-06,-5.3313E-06,-7.0401E-05
105001,G,3.7310E-04,9.5714E-06,-9.8345E-07,-5.6672E-06,-5.8347E-06,-7.0687E-05
105002,G,3.6785E-04,2.3784E-05,-1.2721E-06,-1.3064E-05,-4.1027E-06,-6.9775E-05
105003,G,3.6786E-04,2.2016E-05,-1.1744E-06,-1.2227E-05,-3.9547E-06,-6.9813E-05
105004,G,3.6960E-04,1.8475E-05,-1.2420E-06,-1.0327E-05,-4.7814E-06,-7.0176E-05
105005,G,3.7135E-04,1.3135E-05,-1.0964E-06,-7.5296E-06,-5.3114E-06,-7.0457E-05
105006,G,3.6961E-04,1.6684E-05,-1.1278E-06,-9.3595E-06,-4.5640E-06,-7.0236E-05
105007,G,3.6962E-04,1.4898E-05,-1.0169E-06,-8.4669E-06,-4.5424E-06,-7.0289E-05
105008,G,3.6963E-04,1.3111E-05,-9.0918E-07,-7.4688E-06,-4.3033E-06,-7.0311E-05
105009,G,3.7136E-04,1.1345E-05,-9.6843E-07,-6.5926E-06,-5.1531E-06,-7.0523E-05
105010,G,3.7137E-04,9.5541E-06,-8.4263E-07,-5.6093E-06,-5.1654E-06,-7.0577E-05
105011,G,3.7311E-04,7.7800E-06,-8.3795E-07,-4.7135E-06,-5.9675E-06,-7.0766E-05
105012,G,3.7138E-04,7.7656E-06,-7.1975E-07,-4.7424E-06,-4.8980E-06,-7.0565E-05
105013,G,3.7311E-04,5.9895E-06,-6.9433E-07,-3.7827E-06,-5.7462E-06,-7.0734E-05
105014,G,3.6441E-04,2.9073E-05,-7.7819E-07,-1.6069E-05,-2.2605E-06,-6.9046E-05
105015,G,3.6613E-04,2.5532E-05,-1.0206E-06,-1.4126E-05,-3.2781E-06,-6.9518E-05
105016,G,3.6442E-04,2.7275E-05,-7.2294E-07,-1.5059E-05,-2.2868E-06,-6.9223E-05
105017,G,3.6614E-04,2.3748E-05,-9.4398E-07,-1.3209E-05,-3.0707E-06,-6.9601E-05
105018,G,3.6615E-04,2.1980E-05,-8.7022E-07,-1.2179E-05,-3.0746E-06,-6.9704E-05
105019,G,3.6787E-04,2.0230E-05,-1.0781E-06,-1.1322E-05,-3.9377E-06,-6.9917E-05
105020,G,3.6616E-04,2.0197E-05,-7.9829E-07,-1.1173E-05,-2.9092E-06,-6.9776E-05
105021,G,3.6788E-04,1.8444E-05,-9.8468E-07,-1.0280E-05,-3.7669E-06,-7.0006E-05
105022,G,3.6789E-04,1.6657E-05,-8.9429E-07,-9.3462E-06,-3.6887E-06,-7.0072E-05
105023,G,3.6964E-04,1.1324E-05,-8.0417E-07,-6.5611E-06,-4.3158E-06,-7.0364E-05
105024,G,3.6790E-04,1.4873E-05,-8.0700E-07,-8.3638E-06,-3.5420E-06,-7.0128E-05
105025,G,3.6791E-04,1.3088E-05,-7.2254E-07,-7.4858E-06,-3.4513E-06,-7.0172E-05
105026,G,3.6791E-04,1.1304E-05,-6.4071E-07,-6.5405E-06,-3.3324E-06,-7.0211E-05
105027,G,3.6964E-04,9.5371E-06,-7.0169E-07,-5.6634E-06,-4.1411E-06,-7.0395E-05
105028,G,3.6965E-04,7.7509E-06,-6.0141E-07,-4.7282E-06,-4.1166E-06,-7.0433E-05
105029,G,3.7138E-04,5.9773E-06,-5.9878E-07,-3.8558E-06,-4.9981E-06,-7.0615E-05
105030,G,3.6965E-04,5.9653E-06,-5.0312E-07,-3.8061E-06,-3.9861E-06,-7.0444E-05
105031,G,3.7312E-04,4.1989E-06,-5.5241E-07,-2.9274E-06,-5.8076E-06,-7.0768E-05
105032,G,3.7139E-04,4.1891E-06,-4.7944E-07,-2.9183E-06,-4.7861E-06,-7.0603E-05
105033,G,3.7312E-04,2.4064E-06,-4.1196E-07,-2.0041E-06,-5.6262E-06,-7.0767E-05
105034,G,3.7312E-04,6.1594E-07,-2.7220E-07,-1.1733E-06,-5.7899E-06,-7.0800E-05
105035,G,3.6270E-04,3.0790E-05,-4.0641E-07,-1.6996E-05,-1.2263E-06,-6.8821E-05
105036,G,3.6271E-04,2.9029E-05,-3.7800E-07,-1.6005E-05,-1.2383E-06,-6.8947E-05
105037,G,3.6271E-04,2.7234E-05,-3.4860E-07,-1.4968E-05,-1.2722E-06,-6.9091E-05
105038,G,3.6100E-04,3.2539E-05,1.3020E-08,-1.7860E-05,-1.4602E-07,-6.8531E-05
105039,G,3.5931E-04,3.4251E-05,4.8010E-07,-1.8668E-05,9.3964E-07,-6.8211E-05
105040,G,3.5763E-04,3.5973E-05,9.9815E-07,-1.9346E-05,2.2254E-06,-6.7969E-05
105041,G,3.6443E-04,2.5493E-05,-6.6918E-07,-1.4074E-05,-2.2221E-06,-6.9358E-05
105042,G,3.6443E-04,2.3711E-05,-6.1714E-07,-1.3037E-05,-2.1631E-06,-6.9470E-05
105043,G,3.6272E-04,2.5454E-05,-3.2011E-07,-1.3943E-05,-1.2229E-06,-6.9220E-05
105044,G,3.6444E-04,2.1946E-05,-5.6771E-07,-1.2107E-05,-2.0500E-06,-6.9557E-05
105045,G,3.6445E-04,2.0165E-05,-5.2017E-07,-1.1149E-05,-1.9836E-06,-6.9642E-05
105046,G,3.6617E-04,1.8414E-05,-7.2911E-07,-1.0262E-05,-2.8558E-06,-6.9856E-05
