Gravity:,X,,,,,,
Grid #,Type,X[m],Y[m],Z[m],RX[rad],RY[rad],Rz[rad]
110000,G,4.0109E-04,2.1209E-05,-5.2362E-06,-4.6097E-06,-1.4841E-05,-6.9006E-05
110001,G,4.0110E-04,1.9496E-05,-4.8631E-06,-4.2203E-06,-1.5000E-05,-6.9015E-05
110002,G,3.9934E-04,2.2918E-05,-5.4813E-06,-4.9739E-06,-1.4397E-05,-6.8977E-05
110003,G,3.9935E-04,2.1206E-05,-5.1204E-06,-4.6605E-06,-1.4479E-05,-6.8989E-05
110004,G,3.9936E-04,1.9493E-05,-4.7552E-06,-4.4013E-06,-1.4726E-05,-6.9001E-05
110005,G,4.0283E-04,1.9500E-05,-4.9685E-06,-4.2132E-06,-1.5299E-05,-6.9026E-05
110006,G,4.0284E-04,1.7786E-05,-4.5834E-06,-3.8350E-06,-1.5505E-05,-6.9038E-05
110007,G,4.0110E-04,1.7783E-05,-4.4859E-06,-3.9544E-06,-1.5176E-05,-6.9026E-05
110008,G,3.9936E-04,1.7780E-05,-4.3859E-06,-4.0465E-06,-1.4827E-05,-6.9013E-05
110009,G,3.9760E-04,2.4626E-05,-5.7040E-06,-5.3985E-06,-1.3968E-05,-6.8950E-05
110010,G,3.9761E-04,2.2914E-05,-5.3551E-06,-5.0974E-06,-1.3972E-05,-6.8960E-05
110011,G,3.9762E-04,2.1202E-05,-5.0019E-06,-4.8008E-06,-1.4260E-05,-6.8974E-05
110012,G,3.9762E-04,1.9489E-05,-4.6447E-06,-4.4436E-06,-1.4334E-05,-6.8987E-05
110013,G,3.9763E-04,1.7776E-05,-4.2833E-06,-4.1513E-06,-1.4562E-05,-6.9000E-05
110014,G,4.0458E-04,1.7790E-05,-4.6782E-06,-3.7330E-06,-1.5829E-05,-6.9045E-05
110015,G,4.0458E-04,1.6076E-05,-4.2812E-06,-3.4832E-06,-1.5924E-05,-6.9060E-05
110016,G,4.0285E-04,1.6072E-05,-4.1941E-06,-3.4867E-06,-1.5637E-05,-6.9051E-05
110017,G,4.0111E-04,1.6069E-05,-4.1046E-06,-3.6630E-06,-1.5328E-05,-6.9038E-05
110018,G,3.9937E-04,1.6066E-05,-4.0125E-06,-3.7039E-06,-1.5031E-05,-6.9025E-05
110019,G,3.9763E-04,1.6063E-05,-3.9181E-06,-3.8408E-06,-1.4660E-05,-6.9011E-05
110020,G,3.9586E-04,2.6334E-05,-5.9044E-06,-5.8218E-06,-1.3364E-05,-6.8924E-05
110021,G,3.9587E-04,2.4623E-05,-5.5674E-06,-5.5223E-06,-1.3574E-05,-6.8933E-05
110022,G,3.9587E-04,2.2911E-05,-5.2263E-06,-5.2050E-06,-1.3732E-05,-6.8946E-05
110023,G,3.9588E-04,2.1199E-05,-4.8810E-06,-4.8758E-06,-1.3888E-05,-6.8960E-05
110024,G,3.9589E-04,1.9486E-05,-4.5316E-06,-4.5886E-06,-1.4060E-05,-6.8973E-05
110025,G,3.9589E-04,1.7773E-05,-4.1784E-06,-4.2418E-06,-1.4199E-05,-6.8986E-05
110026,G,3.9590E-04,1.6060E-05,-3.8214E-06,-3.9014E-06,-1.4360E-05,-6.8998E-05
110027,G,4.0633E-04,1.4364E-05,-3.9572E-06,-3.0925E-06,-1.6358E-05,-6.9082E-05
110028,G,4.0459E-04,1.4361E-05,-3.8803E-06,-3.0740E-06,-1.6142E-05,-6.9074E-05
110029,G,4.0285E-04,1.4358E-05,-3.8010E-06,-3.2492E-06,-1.5803E-05,-6.9062E-05
110030,G,4.0111E-04,1.4355E-05,-3.7194E-06,-3.2865E-06,-1.5483E-05,-6.9049E-05
110031,G,3.9938E-04,1.4352E-05,-3.6354E-06,-3.4210E-06,-1.5139E-05,-6.9036E-05
110032,G,3.9764E-04,1.4349E-05,-3.5492E-06,-3.4790E-06,-1.4845E-05,-6.9022E-05
110033,G,3.9590E-04,1.4346E-05,-3.4608E-06,-3.5906E-06,-1.4485E-05,-6.9009E-05
110034,G,3.9412E-04,2.6330E-05,-5.7581E-06,-5.8598E-06,-1.3120E-05,-6.8912E-05
110035,G,3.9413E-04,2.4619E-05,-5.4286E-06,-5.5804E-06,-1.3241E-05,-6.8919E-05
110036,G,3.9414E-04,2.2908E-05,-5.0951E-06,-5.2868E-06,-1.3438E-05,-6.8933E-05
110037,G,3.9414E-04,2.1196E-05,-4.7576E-06,-4.9884E-06,-1.3566E-05,-6.8946E-05
110038,G,3.9415E-04,1.9483E-05,-4.4162E-06,-4.6452E-06,-1.3740E-05,-6.8960E-05
110039,G,3.9416E-04,1.7771E-05,-4.0711E-06,-4.3373E-06,-1.3873E-05,-6.8973E-05
110040,G,3.9416E-04,1.6057E-05,-3.7224E-06,-4.0129E-06,-1.4023E-05,-6.8985E-05
110041,G,3.9417E-04,1.4344E-05,-3.3702E-06,-3.6563E-06,-1.4150E-05,-6.8995E-05
110042,G,4.0633E-04,1.2648E-05,-3.5453E-06,-2.7803E-06,-1.6579E-05,-6.9094E-05
110043,G,4.0460E-04,1.2645E-05,-3.4759E-06,-2.7855E-06,-1.6216E-05,-6.9085E-05
110044,G,4.0286E-04,1.2643E-05,-3.4044E-06,-2.9242E-06,-1.5933E-05,-6.9072E-05
110045,G,4.0112E-04,1.2640E-05,-3.3307E-06,-2.9743E-06,-1.5614E-05,-6.9059E-05
110046,G,3.9938E-04,1.2637E-05,-3.2548E-06,-3.0860E-06,-1.5305E-05,-6.9046E-05
110047,G,3.9764E-04,1.2635E-05,-3.1769E-06,-3.1508E-06,-1.4944E-05,-6.9032E-05
110048,G,3.9591E-04,1.2632E-05,-3.0968E-06,-3.2465E-06,-1.4625E-05,-6.9018E-05
110049,G,3.9417E-04,1.2630E-05,-3.0148E-06,-3.3149E-06,-1.4276E-05,-6.9005E-05
110050,G,3.9238E-04,2.8039E-05,-5.9276E-06,-6.1761E-06,-1.2623E-05,-6.8890E-05
110051,G,3.9239E-04,2.6328E-05,-5.6096E-06,-6.0075E-06,-1.2799E-05,-6.8897E-05
110052,G,3.9240E-04,2.4616E-05,-5.2876E-06,-5.6860E-06,-1.2960E-05,-6.8908E-05
110053,G,3.9240E-04,2.2905E-05,-4.9617E-06,-5.3761E-06,-1.3112E-05,-6.8920E-05
110054,G,3.9241E-04,2.1193E-05,-4.6320E-06,-5.0558E-06,-1.3266E-05,-6.8934E-05
