Gravity:,Z,,,,,,
Grid #,Type,X[m],Y[m],Z[m],RX[rad],RY[rad],Rz[rad]
110000,G,-7.0621E-07,-5.0178E-06,-9.6722E-05,4.5274E-06,2.2007E-05,5.2564E-07
110001,G,-6.7453E-07,-5.0123E-06,-9.7261E-05,4.6055E-06,2.1067E-05,5.2421E-07
110002,G,-7.1310E-07,-5.0019E-06,-9.6286E-05,5.3384E-06,2.2704E-05,3.9253E-07
110003,G,-6.8542E-07,-5.0022E-06,-9.6846E-05,5.2931E-06,2.2014E-05,4.2571E-07
110004,G,-6.5502E-07,-4.9998E-06,-9.7383E-05,5.0947E-06,2.0947E-05,4.4357E-07
110005,G,-6.9507E-07,-5.0277E-06,-9.7148E-05,4.5306E-06,2.0874E-05,5.8166E-07
110006,G,-6.5839E-07,-5.0187E-06,-9.7662E-05,4.3701E-06,2.0149E-05,5.8252E-07
110007,G,-6.3942E-07,-5.0055E-06,-9.7774E-05,4.6505E-06,1.9923E-05,5.1582E-07
110008,G,-6.2178E-07,-4.9953E-06,-9.7895E-05,5.0340E-06,1.9984E-05,4.4401E-07
110009,G,-7.1456E-07,-4.9797E-06,-9.5849E-05,5.9400E-06,2.3240E-05,2.5753E-07
110010,G,-6.9145E-07,-4.9866E-06,-9.6423E-05,5.6554E-06,2.2628E-05,3.1306E-07
110011,G,-6.6573E-07,-4.9899E-06,-9.6979E-05,5.4044E-06,2.1794E-05,3.4170E-07
110012,G,-6.3711E-07,-4.9902E-06,-9.7513E-05,5.3579E-06,2.0947E-05,3.5889E-07
110013,G,-6.0559E-07,-4.9882E-06,-9.8024E-05,5.2715E-06,1.9878E-05,3.6644E-07
110014,G,-6.7823E-07,-5.0336E-06,-9.7560E-05,3.6751E-06,1.9712E-05,6.3590E-07
110015,G,-6.3667E-07,-5.0221E-06,-9.8042E-05,3.9823E-06,1.8709E-05,6.0350E-07
110016,G,-6.1831E-07,-5.0082E-06,-9.8145E-05,4.2158E-06,1.8505E-05,5.6879E-07
110017,G,-6.0132E-07,-4.9973E-06,-9.8258E-05,4.7999E-06,1.8762E-05,5.0160E-07
110018,G,-5.8553E-07,-4.9892E-06,-9.8379E-05,4.9232E-06,1.8711E-05,4.3391E-07
110019,G,-5.7111E-07,-4.9844E-06,-9.8507E-05,5.3195E-06,1.8767E-05,3.6371E-07
110020,G,-7.0944E-07,-4.9520E-06,-9.5419E-05,6.5971E-06,2.3454E-05,1.5311E-07
110021,G,-6.9246E-07,-4.9655E-06,-9.6000E-05,6.1496E-06,2.3040E-05,1.8565E-07
110022,G,-6.7159E-07,-4.9752E-06,-9.6568E-05,5.9222E-06,2.2341E-05,2.2115E-07
110023,G,-6.4765E-07,-4.9811E-06,-9.7119E-05,5.7656E-06,2.1689E-05,2.5385E-07
110024,G,-6.2076E-07,-4.9841E-06,-9.7650E-05,5.5493E-06,2.0780E-05,2.7574E-07
110025,G,-5.9092E-07,-4.9846E-06,-9.8158E-05,5.4614E-06,1.9858E-05,2.8868E-07
110026,G,-5.5811E-07,-4.9830E-06,-9.8640E-05,5.3347E-06,1.8698E-05,2.9293E-07
110027,G,-6.0745E-07,-5.0226E-06,-9.8397E-05,3.7446E-06,1.6882E-05,6.2549E-07
110028,G,-5.9111E-07,-5.0091E-06,-9.8491E-05,3.7229E-06,1.7191E-05,5.8588E-07
110029,G,-5.7530E-07,-4.9971E-06,-9.8595E-05,4.5333E-06,1.7431E-05,5.3385E-07
110030,G,-5.6021E-07,-4.9881E-06,-9.8709E-05,4.6351E-06,1.7319E-05,4.7818E-07
110031,G,-5.4632E-07,-4.9821E-06,-9.8831E-05,5.1214E-06,1.7440E-05,4.1583E-07
110032,G,-5.3365E-07,-4.9793E-06,-9.8960E-05,5.1859E-06,1.7424E-05,3.5238E-07
110033,G,-5.2225E-07,-4.9799E-06,-9.9093E-05,5.4227E-06,1.7472E-05,2.8866E-07
110034,G,-6.8874E-07,-4.9403E-06,-9.5585E-05,6.6975E-06,2.3246E-05,4.6849E-08
110035,G,-6.7279E-07,-4.9557E-06,-9.6158E-05,6.4390E-06,2.2609E-05,9.3270E-08
110036,G,-6.5369E-07,-4.9677E-06,-9.6718E-05,6.0971E-06,2.2181E-05,1.3254E-07
110037,G,-6.3140E-07,-4.9762E-06,-9.7263E-05,5.8124E-06,2.1414E-05,1.6671E-07
110038,G,-6.0611E-07,-4.9817E-06,-9.7790E-05,5.6671E-06,2.0695E-05,1.9375E-07
110039,G,-5.7781E-07,-4.9845E-06,-9.8295E-05,5.5044E-06,1.9707E-05,2.1267E-07
110040,G,-5.4649E-07,-4.9851E-06,-9.8776E-05,5.4664E-06,1.8687E-05,2.2324E-07
110041,G,-5.1213E-07,-4.9840E-06,-9.9227E-05,5.3296E-06,1.7418E-05,2.2580E-07
110042,G,-5.5780E-07,-5.0084E-06,-9.8806E-05,3.5807E-06,1.5666E-05,5.7048E-07
110043,G,-5.4313E-07,-4.9957E-06,-9.8902E-05,4.0845E-06,1.5662E-05,5.4810E-07
110044,G,-5.2927E-07,-4.9857E-06,-9.9008E-05,4.4323E-06,1.5672E-05,4.9679E-07
110045,G,-5.1625E-07,-4.9784E-06,-9.9125E-05,4.8506E-06,1.5909E-05,4.4472E-07
110046,G,-5.0419E-07,-4.9742E-06,-9.9249E-05,5.0646E-06,1.5921E-05,3.8974E-07
110047,G,-4.9325E-07,-4.9733E-06,-9.9378E-05,5.3127E-06,1.6021E-05,3.3331E-07
110048,G,-4.8343E-07,-4.9757E-06,-9.9512E-05,5.3623E-06,1.6027E-05,2.7666E-07
110049,G,-4.7473E-07,-4.9816E-06,-9.9647E-05,5.3771E-06,1.6077E-05,2.2066E-07
110050,G,-6.8261E-07,-4.9106E-06,-9.5182E-05,7.2500E-06,2.3083E-05,-9.7604E-08
110051,G,-6.7053E-07,-4.9321E-06,-9.5754E-05,6.8498E-06,2.2726E-05,-5.3496E-08
110052,G,-6.5569E-07,-4.9500E-06,-9.6318E-05,6.4171E-06,2.2393E-05,-1.2593E-09
110053,G,-6.3785E-07,-4.9643E-06,-9.6871E-05,6.1282E-06,2.1795E-05,4.4052E-08
110054,G,-6.1702E-07,-4.9752E-06,-9.7410E-05,5.8803E-06,2.1268E-05,8.2904E-08
110055,G,-5.9313E-07,-4.9830E-06,-9.7931E-05,5.6201E-06,2.0440E-05,1.1483E-07
110056,G,-5.6621E-07,-4.9881E-06,-9.8433E-05,5.4690E-06,1.9639E-05,1.3925E-07
110057,G,-5.3625E-07,-4.9909E-06,-9.8910E-05,5.2967E-06,1.8545E-05,1.5593E-07
110058,G,-5.0320E-07,-4.9917E-06,-9.9360E-05,5.2828E-06,1.7419E-05,1.6480E-07
110059,G,-4.6710E-07,-4.9911E-06,-9.9779E-05,5.1898E-06,1.6025E-05,1.6611E-07
110060,G,-5.1751E-07,-5.0066E-06,-9.9086E-05,3.4514E-06,1.3533E-05,5.5432E-07
110061,G,-5.0491E-07,-4.9940E-06,-9.9174E-05,3.6224E-06,1.3831E-05,5.2817E-07
110062,G,-4.9256E-07,-4.9828E-06,-9.9273E-05,4.2458E-06,1.4013E-05,4.9125E-07
110063,G,-4.8064E-07,-4.9743E-06,-9.9382E-05,4.5239E-06,1.4204E-05,4.5089E-07
110064,G,-4.6952E-07,-4.9687E-06,-9.9501E-05,4.9453E-06,1.4197E-05,4.0404E-07
110065,G,-4.5931E-07,-4.9661E-06,-9.9627E-05,5.1464E-06,1.4350E-05,3.5592E-07
110066,G,-4.5002E-07,-4.9667E-06,-9.9759E-05,5.3667E-06,1.4395E-05,3.0673E-07
110067,G,-4.4173E-07,-4.9707E-06,-9.9894E-05,5.4118E-06,1.4486E-05,2.5724E-07
110068,G,-4.3440E-07,-4.9783E-06,-1.0003E-04,5.3859E-06,1.4500E-05,2.0815E-07
110069,G,-4.2800E-07,-4.9894E-06,-1.0016E-04,5.1883E-06,1.4553E-05,1.6019E-07
110070,G,-6.6559E-07,-4.9037E-06,-9.5363E-05,7.2531E-06,2.2424E-05,-1.9330E-07
110071,G,-6.5467E-07,-4.9281E-06,-9.5925E-05,6.7983E-06,2.2501E-05,-1.4702E-07
110072,G,-6.4072E-07,-4.9484E-06,-9.6479E-05,6.4392E-06,2.1856E-05,-8.9819E-08
110073,G,-6.2403E-07,-4.9650E-06,-9.7024E-05,6.0504E-06,2.1626E-05,-4.0068E-08
110074,G,-6.0438E-07,-4.9783E-06,-9.7555E-05,5.7204E-06,2.0872E-05,3.5920E-09
110075,G,-5.8175E-07,-4.9883E-06,-9.8070E-05,5.4873E-06,2.0331E-05,4.0295E-08
110076,G,-5.5604E-07,-4.9956E-06,-9.8567E-05,5.2525E-06,1.9378E-05,6.9830E-08
110077,G,-5.2728E-07,-5.0004E-06,-9.9041E-05,5.1253E-06,1.8500E-05,9.1987E-08
110078,G,-4.9540E-07,-5.0032E-06,-9.9489E-05,4.9499E-06,1.7274E-05,1.0663E-07
110079,G,-4.2245E-07,-5.0043E-06,-1.0029E-04,4.8577E-06,1.4495E-05,1.1418E-07
110080,G,-4.6043E-07,-5.0044E-06,-9.9905E-05,4.9106E-06,1.6037E-05,1.1391E-07
110081,G,-4.6083E-07,-4.9928E-06,-9.9408E-05,3.4085E-06,1.2105E-05,4.7728E-07
110082,G,-4.4988E-07,-4.9805E-06,-9.9499E-05,3.9160E-06,1.2125E-05,4.6627E-07
110083,G,-4.3946E-07,-4.9708E-06,-9.9601E-05,4.2578E-06,1.2251E-05,4.3184E-07
110084,G,-4.2955E-07,-4.9636E-06,-9.9714E-05,4.7262E-06,1.2315E-05,3.9563E-07
110085,G,-4.2029E-07,-4.9594E-06,-9.9835E-05,4.9821E-06,1.2522E-05,3.5614E-07
110086,G,-4.1182E-07,-4.9581E-06,-9.9964E-05,5.2898E-06,1.2571E-05,3.1499E-07
110087,G,-4.0415E-07,-4.9601E-06,-1.0010E-04,5.4061E-06,1.2693E-05,2.7302E-07
110088,G,-3.9732E-07,-4.9655E-06,-1.0023E-04,5.5013E-06,1.2744E-05,2.3071E-07
