Gravity:,Z,,,,,,
Grid #,Type,X[m],Y[m],Z[m],RX[rad],RY[rad],Rz[rad]
100000,G,-9.1190E-08,-6.0812E-06,-4.2027E-05,-6.0739E-06,-1.5228E-08,1.3131E-07
100001,G,-4.5501E-08,-6.5484E-06,-3.7287E-05,-2.2896E-05,-1.6812E-08,1.3045E-07
100002,G,-1.3753E-07,-5.5695E-06,-4.2416E-05,3.2160E-06,-1.1254E-08,1.3139E-07
100003,G,-3.2623E-08,-6.4962E-06,-3.4552E-05,-3.1219E-05,-1.7283E-08,1.3105E-07
100004,G,-1.5087E-07,-5.5020E-06,-4.1948E-05,5.8384E-06,-1.0136E-08,1.3133E-07
100005,G,-1.4415E-07,-5.5294E-06,-4.2215E-05,4.4835E-06,-1.2236E-08,1.3108E-07
100006,G,-3.9034E-08,-6.5418E-06,-3.6026E-05,-2.6745E-05,-1.6551E-08,1.3148E-07
100007,G,-8.7876E-08,-6.1257E-06,-4.1864E-05,-6.9091E-06,-1.4284E-08,1.3123E-07
100008,G,-9.4518E-08,-6.0368E-06,-4.2168E-05,-5.2784E-06,-1.2729E-08,1.3135E-07
100009,G,-2.6254E-08,-6.3991E-06,-3.2829E-05,-3.6478E-05,-1.5875E-08,1.3106E-07
100010,G,-1.5758E-07,-5.4899E-06,-4.1608E-05,7.3219E-06,-9.5869E-09,1.3134E-07
100011,G,-8.4570E-08,-6.1702E-06,-4.1680E-05,-7.7738E-06,-1.5650E-08,1.3124E-07
100012,G,-9.7843E-08,-5.9928E-06,-4.2290E-05,-4.5166E-06,-1.2565E-08,1.3137E-07
100013,G,1.3855E-09,-4.7602E-06,-2.0405E-05,-7.7481E-05,-6.0436E-08,1.4978E-07
100014,G,-1.8772E-07,-5.7596E-06,-3.8940E-05,1.6309E-05,-2.1485E-08,1.2802E-07
100015,G,-1.5650E-09,-5.1006E-06,-2.2311E-05,-7.1205E-05,3.4587E-08,1.1882E-07
100016,G,-1.8437E-07,-5.6894E-06,-3.9346E-05,1.5305E-05,8.0711E-09,1.3560E-07
100017,G,-4.5458E-09,-5.3824E-06,-2.4049E-05,-6.5038E-05,7.0387E-09,1.2677E-07
100018,G,-1.8103E-07,-5.6327E-06,-3.9721E-05,1.4046E-05,-8.9447E-09,1.3154E-07
100019,G,-8.1271E-08,-6.2142E-06,-4.1473E-05,-8.6922E-06,-1.5824E-08,1.3123E-07
100020,G,-1.0117E-07,-5.9495E-06,-4.2393E-05,-3.7817E-06,-1.0900E-08,1.3144E-07
100021,G,-1.0631E-08,-5.8175E-06,-2.7094E-05,-5.4820E-05,-2.7365E-09,1.2764E-07
100022,G,-1.7435E-07,-5.5532E-06,-4.0386E-05,1.1859E-05,-4.9989E-09,1.3186E-07
100023,G,-1.3712E-08,-5.9841E-06,-2.8435E-05,-5.0319E-05,-2.4252E-09,1.2721E-07
100024,G,-1.7101E-07,-5.5269E-06,-4.0678E-05,1.0869E-05,-3.1314E-09,1.3250E-07
100025,G,-1.6845E-08,-6.1216E-06,-2.9669E-05,-4.6432E-05,-7.1745E-09,1.2898E-07
100026,G,-7.7979E-08,-6.2576E-06,-4.1242E-05,-9.6462E-06,-1.6161E-08,1.3123E-07
100027,G,-1.6767E-07,-5.5084E-06,-4.0944E-05,9.8680E-06,-1.7732E-09,1.3286E-07
100028,G,-1.0450E-07,-5.9070E-06,-4.2477E-05,-3.0737E-06,-1.1058E-08,1.3143E-07
100029,G,-1.9984E-08,-6.2344E-06,-3.0807E-05,-4.2753E-05,-8.7748E-09,1.2931E-07
100030,G,-1.6433E-07,-5.4966E-06,-4.1187E-05,8.9864E-06,-6.2866E-09,1.3191E-07
100031,G,-2.3132E-08,-6.3255E-06,-3.1856E-05,-3.9541E-05,-7.7738E-09,1.2992E-07
100032,G,-1.6100E-07,-5.4908E-06,-4.1408E-05,8.1098E-06,-1.1477E-09,1.3305E-07
