Case =,Nom,,,,,,
Grid #,Type,X[m],Y[m],Z[m],RX[rad],RY[rad],Rz[rad]
105000,G,2.2728E-05,5.4022E-06,3.1592E-04,1.5115E-05,6.8862E-06,-8.8846E-06
105001,G,2.2223E-05,4.5567E-06,3.1573E-04,1.5402E-05,6.1563E-06,-9.7111E-06
105002,G,2.3420E-05,6.9270E-06,3.1611E-04,1.5618E-05,7.3870E-06,-9.4661E-06
105003,G,2.3197E-05,6.7483E-06,3.1594E-04,1.4825E-05,7.3848E-06,-8.7819E-06
105004,G,2.2933E-05,6.1413E-06,3.1591E-04,1.4087E-05,7.0752E-06,-8.2543E-06
105005,G,2.2499E-05,5.2239E-06,3.1575E-04,1.4707E-05,7.4055E-06,-8.3052E-06
105006,G,2.2690E-05,5.9064E-06,3.1576E-04,1.4042E-05,6.2430E-06,-9.2486E-06
105007,G,2.2475E-05,5.6891E-06,3.1559E-04,1.4116E-05,7.3659E-06,-8.8363E-06
105008,G,2.2246E-05,5.4991E-06,3.1542E-04,1.4269E-05,6.9729E-06,-8.6628E-06
105009,G,2.2248E-05,5.0486E-06,3.1558E-04,1.3992E-05,7.3136E-06,-8.2597E-06
105010,G,2.2001E-05,4.8311E-06,3.1541E-04,1.3229E-05,6.8702E-06,-8.6464E-06
105011,G,2.2013E-05,4.3000E-06,3.1558E-04,1.5564E-05,6.5231E-06,-9.2638E-06
105012,G,2.1774E-05,4.6064E-06,3.1525E-04,1.4274E-05,6.8400E-06,-8.8124E-06
105013,G,2.1808E-05,4.1105E-06,3.1541E-04,1.4889E-05,7.3984E-06,-8.3335E-06
105014,G,2.3691E-05,8.0541E-06,3.1596E-04,1.4835E-05,7.4996E-06,-8.5641E-06
105015,G,2.3398E-05,7.4515E-06,3.1593E-04,1.3027E-05,6.5489E-06,-8.5992E-06
105016,G,2.3437E-05,7.8857E-06,3.1579E-04,1.3646E-05,7.5048E-06,-8.1920E-06
105017,G,2.3167E-05,7.2260E-06,3.1578E-04,1.4182E-05,7.1864E-06,-9.1466E-06
105018,G,2.2946E-05,7.0264E-06,3.1561E-04,1.4176E-05,7.0815E-06,-8.8437E-06
105019,G,2.2958E-05,6.5741E-06,3.1577E-04,1.4139E-05,7.2638E-06,-8.3367E-06
105020,G,2.2711E-05,6.8399E-06,3.1544E-04,1.4398E-05,7.5111E-06,-8.6249E-06
105021,G,2.2705E-05,6.3884E-06,3.1560E-04,1.3294E-05,7.5362E-06,-8.3613E-06
105022,G,2.2464E-05,6.1838E-06,3.1543E-04,1.4341E-05,7.0346E-06,-8.6266E-06
105023,G,2.2009E-05,5.3033E-06,3.1526E-04,1.4122E-05,7.2278E-06,-8.5417E-06
105024,G,2.2230E-05,5.9767E-06,3.1526E-04,1.4638E-05,7.0388E-06,-8.8009E-06
105025,G,2.2001E-05,5.7724E-06,3.1510E-04,1.4341E-05,7.0599E-06,-8.7247E-06
105026,G,2.1767E-05,5.5723E-06,3.1493E-04,1.4520E-05,7.1409E-06,-8.6424E-06
105027,G,2.1770E-05,5.1000E-06,3.1509E-04,1.4889E-05,7.1119E-06,-8.5711E-06
105028,G,2.1537E-05,4.8881E-06,3.1492E-04,1.4291E-05,6.8819E-06,-8.6761E-06
105029,G,2.1553E-05,4.3949E-06,3.1508E-04,1.4274E-05,6.7327E-06,-8.7686E-06
105030,G,2.1309E-05,4.6781E-06,3.1475E-04,1.4537E-05,6.9105E-06,-8.7015E-06
105031,G,2.1571E-05,3.9337E-06,3.1523E-04,1.4017E-05,6.7091E-06,-8.4486E-06
105032,G,2.1324E-05,4.1967E-06,3.1491E-04,1.4504E-05,7.1103E-06,-8.5651E-06
105033,G,2.1324E-05,3.7301E-06,3.1506E-04,1.3845E-05,7.2136E-06,-8.4767E-06
105034,G,2.1086E-05,3.4959E-06,3.1489E-04,1.4664E-05,6.5912E-06,-8.8100E-06
105035,G,2.3657E-05,8.5092E-06,3.1579E-04,1.4952E-05,6.4877E-06,-9.7320E-06
