Case =,Cold,,,,,,
Grid #,Type,X[m],Y[m],Z[m],RX[rad],RY[rad],Rz[rad]
100057,G,-1.8979E-06,1.0474E-05,5.1111E-04,2.3286E-05,3.6623E-07,-3.9743E-07
100058,G,-2.4333E-06,2.9463E-05,4.8362E-04,1.8739E-05,4.1281E-08,-3.9574E-07
100059,G,-2.2203E-06,8.9221E-06,5.1257E-04,2.3391E-05,2.5064E-07,-2.0781E-07
100060,G,-2.1000E-06,3.0211E-05,4.8195E-04,1.8264E-05,3.1971E-09,-1.7515E-07
100061,G,-2.2357E-06,9.4456E-06,5.1208E-04,2.3388E-05,1.4895E-07,-4.0201E-07
100062,G,-2.0880E-06,2.9963E-05,4.8250E-04,1.8400E-05,1.4046E-07,-3.7879E-07
100063,G,-2.2491E-06,9.9542E-06,5.1159E-04,2.3175E-05,2.7135E-07,-4.1961E-07
100064,G,-2.0778E-06,2.9720E-05,4.8306E-04,1.8762E-05,5.6198E-08,-4.0392E-07
100065,G,-2.2610E-06,1.0459E-05,5.1110E-04,2.3286E-05,2.1835E-07,-4.1160E-07
100066,G,-2.0689E-06,2.9471E-05,4.8362E-04,1.8730E-05,1.3084E-07,-4.0018E-07
100067,G,-2.2725E-06,1.0956E-05,5.1060E-04,2.3098E-05,2.5382E-07,-4.0757E-07
100068,G,-2.0601E-06,2.9220E-05,4.8417E-04,1.9010E-05,1.1377E-07,-3.9990E-07
100069,G,-2.2840E-06,1.1447E-05,5.1011E-04,2.3092E-05,2.4961E-07,-4.0495E-07
100070,G,-2.0512E-06,2.8964E-05,4.8473E-04,1.9063E-05,1.3029E-07,-3.9947E-07
100071,G,-2.2954E-06,1.1931E-05,5.0961E-04,2.2942E-05,2.4639E-07,-4.0702E-07
100072,G,-2.0422E-06,2.8706E-05,4.8528E-04,1.9270E-05,1.4317E-07,-4.0337E-07
100073,G,-2.3068E-06,1.2410E-05,5.0911E-04,2.2876E-05,2.4917E-07,-4.0575E-07
100074,G,-2.0332E-06,2.8443E-05,4.8584E-04,1.9362E-05,1.4781E-07,-4.0330E-07
100075,G,-2.3181E-06,1.2882E-05,5.0861E-04,2.2758E-05,2.3625E-07,-4.0857E-07
100076,G,-2.0240E-06,2.8177E-05,4.8639E-04,1.9516E-05,1.6683E-07,-4.0717E-07
100077,G,-2.0148E-06,2.7907E-05,4.8695E-04,1.9619E-05,1.5897E-07,-4.0534E-07
100078,G,-2.3293E-06,1.3348E-05,5.0811E-04,2.2670E-05,2.4869E-07,-4.0610E-07
100079,G,-2.3405E-06,1.3809E-05,5.0761E-04,2.2556E-05,2.2772E-07,-4.0996E-07
100080,G,-2.0056E-06,2.7632E-05,4.8751E-04,1.9753E-05,1.8378E-07,-4.0978E-07
100081,G,-2.3516E-06,1.4264E-05,5.0710E-04,2.2478E-05,2.3469E-07,-4.0856E-07
100082,G,-1.9962E-06,2.7353E-05,4.8806E-04,1.9839E-05,1.7997E-07,-4.0875E-07
100083,G,-2.3627E-06,1.4713E-05,5.0660E-04,2.2362E-05,2.2198E-07,-4.1076E-07
100084,G,-1.9869E-06,2.7071E-05,4.8861E-04,1.9967E-05,1.9527E-07,-4.1127E-07
100085,G,-1.8005E-06,2.0851E-05,4.9890E-04,2.1293E-05,3.0022E-07,-4.1554E-07
100086,G,-2.5624E-06,2.2277E-05,4.9677E-04,2.1046E-05,1.2193E-07,-4.1526E-07
100087,G,-2.3737E-06,1.5156E-05,5.0609E-04,2.2300E-05,2.1884E-07,-4.1088E-07
100088,G,-1.9775E-06,2.6784E-05,4.8917E-04,2.0033E-05,2.0015E-07,-4.1151E-07
