Case =,Cold,,,,,,
Grid #,Type,X[m],Y[m],Z[m],RX[rad],RY[rad],Rz[rad]
110000,G,2.9278E-06,6.9565E-06,4.8885E-04,5.0436E-06,3.1560E-06,-5.4221E-07
110001,G,2.5644E-06,6.9395E-06,4.8876E-04,2.5720E-05,5.9247E-06,-7.9313E-07
110002,G,3.2743E-06,7.3436E-06,4.8842E-04,1.9612E-05,-3.1639E-06,-6.3372E-07
110003,G,2.9101E-06,7.3258E-06,4.8833E-04,3.1104E-05,9.3054E-06,-6.9191E-07
110004,G,2.5508E-06,7.3057E-06,4.8824E-04,1.5896E-05,-4.9725E-09,-6.7322E-07
110005,G,2.5938E-06,6.5612E-06,4.8928E-04,1.7505E-05,-2.8714E-06,-6.9158E-07
110006,G,2.2246E-06,6.5571E-06,4.8919E-04,1.8672E-05,8.6991E-06,-5.6033E-07
110007,G,2.2090E-06,6.9200E-06,4.8867E-04,2.2652E-05,1.2197E-06,-6.7944E-07
110008,G,2.1901E-06,7.2886E-06,4.8815E-04,1.9852E-05,6.3131E-06,-6.9910E-07
110009,G,3.6286E-06,7.7219E-06,4.8800E-04,2.5417E-05,-3.3535E-06,-7.3853E-07
110010,G,3.2594E-06,7.7105E-06,4.8791E-04,2.3581E-05,9.0593E-06,-6.0481E-07
110011,G,2.8965E-06,7.6914E-06,4.8781E-04,1.3962E-05,4.9231E-08,-6.7185E-07
110012,G,2.5342E-06,7.6730E-06,4.8772E-04,2.5328E-05,6.7391E-06,-6.9333E-07
110013,G,2.1739E-06,7.6544E-06,4.8763E-04,2.1184E-05,1.1198E-06,-6.9271E-07
110014,G,2.2437E-06,6.1851E-06,4.8971E-04,2.6569E-05,-6.9070E-06,-6.0979E-07
110015,G,1.8815E-06,6.1786E-06,4.8963E-04,2.6735E-05,1.2571E-05,-5.2915E-07
110016,G,1.8653E-06,6.5397E-06,4.8911E-04,1.7300E-05,-6.2543E-07,-6.5920E-07
110017,G,1.8476E-06,6.9060E-06,4.8859E-04,2.4165E-05,5.5789E-06,-6.5327E-07
110018,G,1.8307E-06,7.2709E-06,4.8807E-04,1.8054E-05,1.1392E-06,-6.8556E-07
110019,G,1.8133E-06,7.6367E-06,4.8755E-04,2.3295E-05,5.1233E-06,-6.9624E-07
110020,G,3.9712E-06,8.1120E-06,4.8757E-04,2.1144E-05,1.0282E-05,-7.4928E-07
110021,G,3.6050E-06,8.0947E-06,4.8748E-04,1.7535E-05,-2.1864E-07,-7.7134E-07
110022,G,3.2442E-06,8.0748E-06,4.8738E-04,1.8973E-05,5.9207E-06,-7.0718E-07
110023,G,2.8803E-06,8.0575E-06,4.8729E-04,2.6337E-05,2.7924E-06,-6.8831E-07
110024,G,2.5185E-06,8.0385E-06,4.8720E-04,1.7387E-05,4.1573E-06,-6.9790E-07
110025,G,2.1570E-06,8.0201E-06,4.8711E-04,2.1227E-05,3.2400E-06,-7.0343E-07
110026,G,1.7963E-06,8.0019E-06,4.8703E-04,1.8907E-05,3.3886E-06,-7.0417E-07
110027,G,1.5358E-06,5.8011E-06,4.9009E-04,4.0214E-05,1.0120E-05,-7.9727E-07
110028,G,1.5208E-06,6.1585E-06,4.8955E-04,7.3206E-06,-3.3535E-06,-6.7246E-07
110029,G,1.5043E-06,6.5250E-06,4.8904E-04,3.2558E-05,6.9596E-06,-6.5370E-07
110030,G,1.4878E-06,6.8891E-06,4.8851E-04,1.1608E-05,1.3619E-06,-6.7301E-07
110031,G,1.4705E-06,7.2542E-06,4.8799E-04,2.8436E-05,4.9915E-06,-6.8384E-07
110032,G,1.4532E-06,7.6191E-06,4.8747E-04,1.4769E-05,1.7820E-06,-6.9636E-07
110033,G,1.4358E-06,7.9839E-06,4.8695E-04,2.5962E-05,3.1516E-06,-7.0581E-07
110034,G,3.9489E-06,8.4842E-06,4.8705E-04,2.1874E-05,6.1797E-06,-8.2472E-07
110035,G,3.5886E-06,8.4613E-06,4.8695E-04,2.3928E-05,3.7281E-06,-7.5974E-07
110036,G,3.2258E-06,8.4423E-06,4.8686E-04,2.2679E-05,2.8212E-06,-7.3768E-07
110037,G,2.8639E-06,8.4228E-06,4.8677E-04,1.6847E-05,5.0107E-06,-7.2020E-07
110038,G,2.5017E-06,8.4040E-06,4.8668E-04,2.3831E-05,2.4079E-06,-7.1403E-07
110039,G,2.1402E-06,8.3852E-06,4.8659E-04,2.0306E-05,4.5377E-06,-7.1392E-07
110040,G,1.7790E-06,8.3667E-06,4.8650E-04,2.2662E-05,2.3696E-06,-7.1448E-07
110041,G,1.4183E-06,8.3484E-06,4.8642E-04,1.6813E-05,3.9446E-06,-7.1488E-07
110042,G,1.1859E-06,5.7663E-06,4.9000E-04,-1.8605E-06,-1.6564E-08,-7.6034E-07
110043,G,1.1605E-06,6.1428E-06,4.8949E-04,3.9213E-05,8.4067E-06,-7.5589E-07
110044,G,1.1455E-06,6.5073E-06,4.8896E-04,6.9318E-06,-1.4888E-07,-6.7147E-07
110045,G,1.1279E-06,6.8725E-06,4.8844E-04,3.2203E-05,4.5399E-06,-6.8748E-07
110046,G,1.1107E-06,7.2370E-06,4.8792E-04,1.1858E-05,1.4077E-06,-6.9025E-07
110047,G,1.0932E-06,7.6017E-06,4.8739E-04,2.8261E-05,3.9663E-06,-6.9972E-07
110048,G,1.0757E-06,7.9661E-06,4.8687E-04,1.5022E-05,2.8789E-06,-7.0797E-07
110049,G,1.0579E-06,8.3303E-06,4.8635E-04,2.5747E-05,2.2555E-06,-7.1619E-07
110050,G,4.3021E-06,8.8774E-06,4.8662E-04,2.3688E-05,-5.2604E-06,-7.8495E-07
110051,G,3.9334E-06,8.8507E-06,4.8653E-04,2.1657E-05,1.0777E-05,-7.7361E-07
110052,G,3.5709E-06,8.8295E-06,4.8643E-04,1.9657E-05,-5.4743E-07,-7.6731E-07
110053,G,3.2089E-06,8.8082E-06,4.8634E-04,2.0040E-05,6.8236E-06,-7.5219E-07
110054,G,2.8465E-06,8.7885E-06,4.8624E-04,2.4316E-05,1.3098E-06,-7.3910E-07
110055,G,2.4846E-06,8.7690E-06,4.8615E-04,1.8616E-05,5.5833E-06,-7.3092E-07
110056,G,2.1229E-06,8.7499E-06,4.8607E-04,2.1699E-05,1.7404E-06,-7.2684E-07
110057,G,1.7616E-06,8.7311E-06,4.8598E-04,1.9371E-05,4.7847E-06,-7.2494E-07
110058,G,1.4007E-06,8.7125E-06,4.8590E-04,2.4258E-05,1.8590E-06,-7.2431E-07
110059,G,1.0401E-06,8.6941E-06,4.8583E-04,1.6979E-05,4.0601E-06,-7.2442E-07
110060,G,8.4929E-07,5.3811E-06,4.9046E-04,5.8010E-06,-8.4376E-08,-6.6958E-07
110061,G,8.2098E-07,5.7606E-06,4.8994E-04,3.3446E-05,3.4592E-06,-6.8896E-07
110062,G,8.0531E-07,6.1233E-06,4.8942E-04,1.0768E-05,-2.1743E-06,-6.9182E-07
110063,G,7.8595E-07,6.4904E-06,4.8890E-04,2.9756E-05,4.9306E-06,-7.0861E-07
110064,G,7.6883E-07,6.8550E-06,4.8837E-04,1.3681E-05,1.0299E-06,-6.9304E-07
110065,G,7.5113E-07,7.2198E-06,4.8785E-04,2.7023E-05,3.7774E-06,-6.9977E-07
110066,G,7.3353E-07,7.5841E-06,4.8733E-04,1.5916E-05,1.8057E-06,-7.0458E-07
110067,G,7.1575E-07,7.9483E-06,4.8680E-04,2.5178E-05,2.7157E-06,-7.1153E-07
110068,G,6.9790E-07,8.3122E-06,4.8628E-04,1.7436E-05,3.2860E-06,-7.1846E-07
110069,G,6.7991E-07,8.6758E-06,4.8575E-04,2.3851E-05,1.7520E-06,-7.2551E-07
110070,G,4.2787E-06,9.2404E-06,4.8610E-04,1.9383E-05,8.9506E-06,-7.0253E-07
110071,G,3.9193E-06,9.2168E-06,4.8600E-04,2.0549E-05,-9.5351E-07,-7.8081E-07
110072,G,3.5543E-06,9.1952E-06,4.8591E-04,2.1825E-05,8.7094E-06,-7.6171E-07
110073,G,3.1916E-06,9.1740E-06,4.8581E-04,2.1640E-05,-7.3969E-07,-7.6265E-07
110074,G,2.8292E-06,9.1535E-06,4.8572E-04,1.8265E-05,7.4865E-06,-7.5196E-07
110075,G,2.4671E-06,9.1337E-06,4.8563E-04,2.2790E-05,3.5950E-07,-7.4466E-07
