Case =,Hot,,,,,,
Grid #,Type,X[m],Y[m],Z[m],RX[rad],RY[rad],Rz[rad]
105000,G,4.4065E-05,2.3943E-06,1.2030E-04,5.7721E-06,1.3241E-05,-1.7013E-05
105001,G,4.4226E-05,1.0512E-06,1.1943E-04,5.8648E-06,1.2982E-05,-1.7323E-05
105002,G,4.3643E-05,4.6737E-06,1.2169E-04,5.9764E-06,1.3380E-05,-1.7245E-05
105003,G,4.3542E-05,4.2677E-06,1.2136E-04,5.6822E-06,1.3386E-05,-1.6988E-05
105004,G,4.3789E-05,3.3556E-06,1.2082E-04,5.3997E-06,1.3301E-05,-1.6784E-05
105005,G,4.3968E-05,1.9857E-06,1.1997E-04,5.6114E-06,1.3446E-05,-1.6795E-05
105006,G,4.3684E-05,2.9253E-06,1.2050E-04,5.3740E-06,1.2992E-05,-1.7154E-05
105007,G,4.3591E-05,2.5022E-06,1.2017E-04,5.3942E-06,1.3422E-05,-1.6997E-05
105008,G,4.3493E-05,2.0892E-06,1.1984E-04,5.4498E-06,1.3275E-05,-1.6932E-05
105009,G,4.3864E-05,1.5780E-06,1.1963E-04,5.3399E-06,1.3412E-05,-1.6779E-05
105010,G,4.3762E-05,1.1544E-06,1.1931E-04,5.0491E-06,1.3254E-05,-1.6923E-05
105011,G,4.4140E-05,6.1307E-07,1.1910E-04,5.9239E-06,1.3134E-05,-1.7150E-05
105012,G,4.3670E-05,7.2833E-07,1.1898E-04,5.4383E-06,1.3245E-05,-1.6984E-05
105013,G,4.4058E-05,2.0028E-07,1.1877E-04,5.6674E-06,1.3461E-05,-1.6801E-05
105014,G,4.3055E-05,6.1271E-06,1.2242E-04,5.6870E-06,1.3390E-05,-1.6908E-05
105015,G,4.3278E-05,5.2131E-06,1.2188E-04,5.0022E-06,1.3060E-05,-1.6922E-05
105016,G,4.2938E-05,5.7185E-06,1.2209E-04,5.2362E-06,1.3408E-05,-1.6768E-05
105017,G,4.3172E-05,4.7863E-06,1.2156E-04,5.4387E-06,1.3305E-05,-1.7125E-05
105018,G,4.3072E-05,4.3724E-06,1.2124E-04,5.4349E-06,1.3274E-05,-1.7010E-05
105019,G,4.3436E-05,3.8602E-06,1.2103E-04,5.4212E-06,1.3355E-05,-1.6818E-05
105020,G,4.2967E-05,3.9603E-06,1.2091E-04,5.5166E-06,1.3442E-05,-1.6926E-05
105021,G,4.3325E-05,3.4487E-06,1.2070E-04,5.0988E-06,1.3465E-05,-1.6825E-05
105022,G,4.3221E-05,3.0297E-06,1.2037E-04,5.4874E-06,1.3285E-05,-1.6923E-05
105023,G,4.3395E-05,1.6738E-06,1.1951E-04,5.3884E-06,1.3379E-05,-1.6885E-05
105024,G,4.3121E-05,2.6103E-06,1.2004E-04,5.5938E-06,1.3291E-05,-1.6986E-05
105025,G,4.3023E-05,2.1919E-06,1.1972E-04,5.4743E-06,1.3305E-05,-1.6956E-05
105026,G,4.2926E-05,1.7750E-06,1.1939E-04,5.5367E-06,1.3339E-05,-1.6924E-05
105027,G,4.3296E-05,1.2556E-06,1.1918E-04,5.6718E-06,1.3337E-05,-1.6896E-05
105028,G,4.3202E-05,8.3433E-07,1.1885E-04,5.4411E-06,1.3258E-05,-1.6934E-05
105029,G,4.3581E-05,3.0725E-07,1.1865E-04,5.4337E-06,1.3212E-05,-1.6966E-05
105030,G,4.3110E-05,4.1377E-07,1.1852E-04,5.5277E-06,1.3271E-05,-1.6942E-05
105031,G,4.3964E-05,-2.0781E-07,1.1844E-04,5.3373E-06,1.3214E-05,-1.6844E-05
105032,G,4.3491E-05,-1.0886E-07,1.1832E-04,5.5149E-06,1.3357E-05,-1.6889E-05
105033,G,4.3868E-05,-6.2609E-07,1.1811E-04,5.2684E-06,1.3412E-05,-1.6854E-05
105034,G,4.3777E-05,-1.0556E-06,1.1778E-04,5.5643E-06,1.3193E-05,-1.6976E-05
105035,G,4.2691E-05,6.6370E-06,1.2262E-04,5.7305E-06,1.3000E-05,-1.7350E-05
105036,G,4.2587E-05,6.2279E-06,1.2230E-04,5.2709E-06,1.3494E-05,-1.6971E-05
105037,G,4.2473E-05,5.8162E-06,1.2197E-04,5.5722E-06,1.3319E-05,-1.6936E-05
105038,G,4.2347E-05,7.1698E-06,1.2282E-04,4.9064E-06,1.3171E-05,-1.6803E-05
105039,G,4.2018E-05,7.6635E-06,1.2302E-04,5.2035E-06,1.3308E-05,-1.6796E-05
105040,G,4.1672E-05,8.1678E-06,1.2322E-04,5.1161E-06,1.3271E-05,-1.7099E-05
105041,G,4.2821E-05,5.3084E-06,1.2176E-04,5.4551E-06,1.3489E-05,-1.6830E-05
105042,G,4.2711E-05,4.8913E-06,1.2143E-04,5.4024E-06,1.3274E-05,-1.6957E-05
105043,G,4.2361E-05,5.4049E-06,1.2164E-04,5.3435E-06,1.3504E-05,-1.6882E-05
105044,G,4.2606E-05,4.4776E-06,1.2111E-04,5.5307E-06,1.3367E-05,-1.6987E-05
105045,G,4.2501E-05,4.0619E-06,1.2078E-04,5.4438E-06,1.3325E-05,-1.6957E-05
105046,G,4.2862E-05,3.5468E-06,1.2058E-04,5.6810E-06,1.3343E-05,-1.6914E-05
105047,G,4.2397E-05,3.6472E-06,1.2045E-04,5.2993E-06,1.3399E-05,-1.6918E-05
105048,G,4.2758E-05,3.1303E-06,1.2025E-04,5.3951E-06,1.3373E-05,-1.6912E-05
105049,G,4.2657E-05,2.7124E-06,1.1992E-04,5.3753E-06,1.3282E-05,-1.6935E-05
105050,G,4.2829E-05,1.3565E-06,1.1906E-04,5.2935E-06,1.3320E-05,-1.6910E-05
105051,G,4.2558E-05,2.2947E-06,1.1959E-04,5.4980E-06,1.3340E-05,-1.6937E-05
105052,G,4.2461E-05,1.8765E-06,1.1926E-04,5.4006E-06,1.3293E-05,-1.6932E-05
105053,G,4.2365E-05,1.4580E-06,1.1893E-04,5.5779E-06,1.3329E-05,-1.6926E-05
105054,G,4.2734E-05,9.3705E-07,1.1873E-04,5.5028E-06,1.3290E-05,-1.6922E-05
105055,G,4.2642E-05,5.1669E-07,1.1839E-04,5.4086E-06,1.3257E-05,-1.6928E-05
105056,G,4.3019E-05,-6.4938E-09,1.1819E-04,5.4044E-06,1.3247E-05,-1.6934E-05
105057,G,4.2551E-05,9.6305E-08,1.1806E-04,5.4958E-06,1.3271E-05,-1.6924E-05
105058,G,4.3399E-05,-5.2876E-07,1.1798E-04,5.5067E-06,1.3230E-05,-1.6914E-05
105059,G,4.2929E-05,-4.2728E-07,1.1786E-04,5.3778E-06,1.3299E-05,-1.6903E-05
105060,G,4.3310E-05,-9.5333E-07,1.1765E-04,5.3184E-06,1.3310E-05,-1.6895E-05
105061,G,4.3697E-05,-1.4869E-06,1.1745E-04,5.7075E-06,1.3215E-05,-1.6921E-05
105062,G,4.3226E-05,-1.3768E-06,1.1732E-04,5.3844E-06,1.3266E-05,-1.6913E-05
105063,G,4.3616E-05,-1.9005E-06,1.1711E-04,5.5165E-06,1.3465E-05,-1.6829E-05
105064,G,4.3530E-05,-2.3160E-06,1.1678E-04,5.2198E-06,1.3006E-05,-1.6997E-05
105065,G,4.1325E-05,8.6923E-06,1.2342E-04,5.0747E-06,1.2893E-05,-1.7116E-05
105066,G,4.1010E-05,9.1976E-06,1.2363E-04,4.9980E-06,1.3704E-05,-1.6568E-05
105067,G,4.0682E-05,9.6892E-06,1.2383E-04,5.3447E-06,1.3654E-05,-1.6990E-05
105068,G,4.2229E-05,6.7457E-06,1.2249E-04,5.2951E-06,1.3408E-05,-1.7028E-05
105069,G,4.2122E-05,6.3324E-06,1.2217E-04,5.6635E-06,1.3174E-05,-1.7079E-05
105070,G,4.2010E-05,5.9158E-06,1.2184E-04,5.3341E-06,1.3523E-05,-1.6941E-05
105071,G,4.1899E-05,5.5037E-06,1.2151E-04,5.4944E-06,1.3308E-05,-1.6947E-05
105072,G,4.1555E-05,7.7607E-06,1.2290E-04,5.5607E-06,1.3572E-05,-1.6971E-05
105073,G,4.1894E-05,7.2622E-06,1.2270E-04,5.4374E-06,1.3667E-05,-1.6801E-05
105074,G,4.1775E-05,6.8448E-06,1.2237E-04,5.3468E-06,1.3189E-05,-1.6943E-05
105075,G,4.1438E-05,7.3559E-06,1.2257E-04,5.2431E-06,1.3327E-05,-1.6902E-05
105076,G,4.1210E-05,8.2720E-06,1.2310E-04,5.7171E-06,1.3477E-05,-1.7108E-05
105077,G,4.1096E-05,7.8599E-06,1.2277E-04,5.2613E-06,1.3298E-05,-1.6998E-05
105078,G,4.2250E-05,4.9909E-06,1.2131E-04,5.4428E-06,1.3311E-05,-1.6931E-05
105079,G,4.2143E-05,4.5790E-06,1.2098E-04,5.3821E-06,1.3398E-05,-1.6935E-05
105080,G,4.1790E-05,5.0903E-06,1.2118E-04,5.4083E-06,1.3475E-05,-1.6919E-05
105081,G,4.2038E-05,4.1635E-06,1.2065E-04,5.4576E-06,1.3326E-05,-1.6950E-05
105082,G,4.1934E-05,3.7479E-06,1.2033E-04,5.5533E-06,1.3381E-05,-1.6941E-05
105083,G,4.2294E-05,3.2309E-06,1.2012E-04,5.5036E-06,1.3328E-05,-1.6929E-05
105084,G,4.1832E-05,3.3314E-06,1.2000E-04,5.3902E-06,1.3321E-05,-1.6934E-05
105085,G,4.2193E-05,2.8142E-06,1.1979E-04,5.5148E-06,1.3336E-05,-1.6932E-05
105086,G,4.2094E-05,2.3964E-06,1.1946E-04,5.4108E-06,1.3295E-05,-1.6936E-05
105087,G,4.2271E-05,1.0387E-06,1.1860E-04,5.3939E-06,1.3270E-05,-1.6925E-05
105088,G,4.1997E-05,1.9781E-06,1.1913E-04,5.4960E-06,1.3318E-05,-1.6933E-05
105089,G,4.1901E-05,1.5593E-06,1.1880E-04,5.3380E-06,1.3288E-05,-1.6927E-05
105090,G,4.1806E-05,1.1400E-06,1.1847E-04,5.4738E-06,1.3285E-05,-1.6928E-05
105091,G,4.2178E-05,6.1872E-07,1.1827E-04,5.4798E-06,1.3274E-05,-1.6925E-05
105092,G,4.2087E-05,1.9802E-07,1.1794E-04,5.3952E-06,1.3246E-05,-1.6926E-05
105093,G,4.2461E-05,-3.2493E-07,1.1773E-04,5.4968E-06,1.3257E-05,-1.6922E-05
105094,G,4.1998E-05,-2.2340E-07,1.1761E-04,5.3759E-06,1.3257E-05,-1.6920E-05
105095,G,4.2841E-05,-8.4894E-07,1.1753E-04,5.5402E-06,1.3273E-05,-1.6904E-05
105096,G,4.2374E-05,-7.4680E-07,1.1740E-04,5.3527E-06,1.3255E-05,-1.6916E-05
105097,G,4.2755E-05,-1.2716E-06,1.1720E-04,5.4438E-06,1.3235E-05,-1.6917E-05
105098,G,4.3141E-05,-1.7982E-06,1.1699E-04,5.3016E-06,1.3185E-05,-1.6935E-05
105099,G,4.2671E-05,-1.6941E-06,1.1687E-04,5.5048E-06,1.3229E-05,-1.6925E-05
105100,G,4.3057E-05,-2.2191E-06,1.1666E-04,5.4499E-06,1.3291E-05,-1.6906E-05
105101,G,4.2974E-05,-2.6442E-06,1.1633E-04,5.4541E-06,1.3129E-05,-1.6932E-05
105102,G,4.3442E-05,-2.7441E-06,1.1645E-04,5.2896E-06,1.3379E-05,-1.6950E-05
105103,G,4.3361E-05,-3.1794E-06,1.1612E-04,5.6714E-06,1.3092E-05,-1.6944E-05
105104,G,3.7633E-05,1.2067E-05,1.2411E-04,5.2184E-06,1.3756E-05,-1.6890E-05
105105,G,3.6441E-05,1.2761E-05,1.2405E-04,4.8612E-06,1.3786E-05,-1.6593E-05
105106,G,4.0879E-05,8.7891E-06,1.2330E-04,5.3946E-06,1.3299E-05,-1.6878E-05
105107,G,4.0758E-05,8.3716E-06,1.2297E-04,5.0823E-06,1.3384E-05,-1.6952E-05
105108,G,4.0223E-05,9.7882E-06,1.2370E-04,5.3499E-06,1.3227E-05,-1.7135E-05
105109,G,3.9590E-05,1.0795E-05,1.2410E-04,5.3709E-06,1.3858E-05,-1.6738E-05
105110,G,3.9888E-05,1.0303E-05,1.2389E-04,4.9842E-06,1.3031E-05,-1.6995E-05
105111,G,3.9138E-05,1.0885E-05,1.2397E-04,5.3409E-06,1.3776E-05,-1.6878E-05
105112,G,4.0558E-05,9.2859E-06,1.2350E-04,5.4244E-06,1.3266E-05,-1.6927E-05
105113,G,4.0431E-05,8.8809E-06,1.2317E-04,5.1166E-06,1.3670E-05,-1.6825E-05
105114,G,4.0102E-05,9.3816E-06,1.2337E-04,5.2813E-06,1.3552E-05,-1.6970E-05
105115,G,3.8359E-05,1.1487E-05,1.2403E-04,5.0887E-06,1.3368E-05,-1.7095E-05
105116,G,3.8687E-05,1.0977E-05,1.2384E-04,5.1778E-06,1.3382E-05,-1.7055E-05
105117,G,4.1662E-05,6.4337E-06,1.2204E-04,5.2332E-06,1.3510E-05,-1.6943E-05
