Case =,Cold,,,,,,
Grid #,Type,X[m],Y[m],Z[m],RX[rad],RY[rad],Rz[rad]
105000,G,1.4961E-06,8.3879E-06,5.1155E-04,2.4446E-05,5.6468E-07,-7.9448E-07
105001,G,3.2609E-07,8.0371E-06,5.1203E-04,2.4927E-05,-6.3616E-07,-2.1382E-06
105002,G,3.3017E-06,9.1629E-06,5.1053E-04,2.5246E-05,1.4263E-06,-1.7264E-06
105003,G,2.9566E-06,9.2107E-06,5.1052E-04,2.3955E-05,1.4166E-06,-6.1461E-07
105004,G,2.1813E-06,8.9067E-06,5.1100E-04,2.2761E-05,8.8207E-07,2.3708E-07
105005,G,1.1365E-06,8.4389E-06,5.1154E-04,2.3790E-05,1.3982E-06,1.4541E-07
105006,G,1.8006E-06,8.8662E-06,5.1101E-04,2.2697E-05,-4.7265E-07,-1.3816E-06
105007,G,1.4633E-06,8.8538E-06,5.1101E-04,2.2824E-05,1.3426E-06,-7.1442E-07
105008,G,1.1027E-06,8.8859E-06,5.1101E-04,2.3076E-05,7.0389E-07,-4.3247E-07
105009,G,7.3842E-07,8.4950E-06,5.1152E-04,2.2632E-05,1.2485E-06,2.2132E-07
105010,G,3.4483E-07,8.4826E-06,5.1151E-04,2.1396E-05,5.1917E-07,-4.0876E-07
105011,G,-7.6615E-09,7.9608E-06,5.1205E-04,2.5192E-05,-5.5190E-08,-1.4164E-06
105012,G,-1.5817E-08,8.4584E-06,5.1151E-04,2.3097E-05,4.6831E-07,-6.7956E-07
105013,G,-3.3414E-07,7.9937E-06,5.1203E-04,2.4097E-05,1.3686E-06,9.5670E-08
105014,G,4.4291E-06,9.9667E-06,5.0950E-04,2.3971E-05,1.6415E-06,-2.5862E-07
105015,G,3.6206E-06,9.6736E-06,5.0999E-04,2.1038E-05,7.0516E-08,-3.1536E-07
105016,G,4.0388E-06,1.0037E-05,5.0949E-04,2.2043E-05,1.6339E-06,3.4543E-07
105017,G,3.2647E-06,9.6483E-06,5.0999E-04,2.2912E-05,1.1007E-06,-1.2065E-06
105018,G,2.9228E-06,9.6621E-06,5.0999E-04,2.2905E-05,9.2159E-07,-7.1621E-07
105019,G,2.5845E-06,9.2686E-06,5.1051E-04,2.2844E-05,1.2051E-06,1.0563E-07
105020,G,2.5572E-06,9.7002E-06,5.0998E-04,2.3267E-05,1.6128E-06,-3.6187E-07
105021,G,2.1878E-06,9.3078E-06,5.1050E-04,2.1477E-05,1.6400E-06,6.3705E-08
105022,G,1.8101E-06,9.3166E-06,5.1049E-04,2.3182E-05,8.1734E-07,-3.6929E-07
105023,G,7.2802E-07,8.9087E-06,5.1100E-04,2.2843E-05,1.1101E-06,-2.3712E-07
105024,G,1.4432E-06,9.3207E-06,5.1048E-04,2.3670E-05,8.1923E-07,-6.5422E-07
105025,G,1.0815E-06,9.3296E-06,5.1047E-04,2.3196E-05,8.4805E-07,-5.3210E-07
105026,G,7.1229E-07,9.3453E-06,5.1046E-04,2.3491E-05,9.7615E-07,-3.9923E-07
105027,G,3.4913E-07,8.9192E-06,5.1099E-04,2.4094E-05,9.1933E-07,-2.8526E-07
105028,G,-2.2627E-08,8.9157E-06,5.1098E-04,2.3128E-05,5.3917E-07,-4.5713E-07
