Case =,Nom,,,,,,
Grid #,Type,X[m],Y[m],Z[m],RX[rad],RY[rad],Rz[rad]
110000,G,2.2789E-05,5.3784E-06,3.0243E-04,2.9678E-06,8.2789E-06,-8.7402E-06
110001,G,2.2565E-05,5.1576E-06,3.0222E-04,1.5797E-05,9.9730E-06,-8.8936E-06
110002,G,2.2792E-05,5.8271E-06,3.0233E-04,1.1986E-05,4.3495E-06,-8.7971E-06
110003,G,2.2568E-05,5.6058E-06,3.0211E-04,1.9103E-05,1.2052E-05,-8.8324E-06
110004,G,2.2347E-05,5.3831E-06,3.0190E-04,9.6614E-06,6.3174E-06,-8.8202E-06
110005,G,2.2793E-05,4.9247E-06,3.0253E-04,1.0611E-05,4.5774E-06,-8.8300E-06
110006,G,2.2566E-05,4.7119E-06,3.0232E-04,1.1364E-05,1.1678E-05,-8.7489E-06
110007,G,2.2346E-05,4.9353E-06,3.0200E-04,1.3869E-05,7.0832E-06,-8.8228E-06
110008,G,2.2125E-05,5.1622E-06,3.0169E-04,1.2124E-05,1.0215E-05,-8.8355E-06
110009,G,2.2801E-05,6.2705E-06,3.0222E-04,1.5613E-05,4.2217E-06,-8.8612E-06
110010,G,2.2573E-05,6.0531E-06,3.0201E-04,1.4459E-05,1.1895E-05,-8.7798E-06
110011,G,2.2350E-05,5.8309E-06,3.0179E-04,8.4921E-06,6.3318E-06,-8.8202E-06
110012,G,2.2127E-05,5.6092E-06,3.0158E-04,1.5542E-05,1.0473E-05,-8.8330E-06
110013,G,2.1905E-05,5.3874E-06,3.0137E-04,1.2958E-05,7.0068E-06,-8.8320E-06
110014,G,2.2787E-05,4.4829E-06,3.0264E-04,1.6327E-05,2.0723E-06,-8.7797E-06
110015,G,2.2564E-05,4.2686E-06,3.0243E-04,1.6371E-05,1.4103E-05,-8.7296E-06
110016,G,2.2344E-05,4.4909E-06,3.0211E-04,1.0553E-05,5.9658E-06,-8.8097E-06
110017,G,2.2124E-05,4.7164E-06,3.0179E-04,1.4771E-05,9.7702E-06,-8.8064E-06
110018,G,2.1903E-05,4.9410E-06,3.0148E-04,1.1029E-05,7.0322E-06,-8.8267E-06
110019,G,2.1683E-05,5.1663E-06,3.0116E-04,1.4243E-05,9.4842E-06,-8.8337E-06
110020,G,2.2802E-05,6.7211E-06,3.0212E-04,1.2950E-05,1.2643E-05,-8.8702E-06
110021,G,2.2576E-05,6.5000E-06,3.0191E-04,1.0718E-05,6.1304E-06,-8.8825E-06
110022,G,2.2354E-05,6.2774E-06,3.0169E-04,1.1609E-05,9.9626E-06,-8.8428E-06
110023,G,2.2130E-05,6.0563E-06,3.0147E-04,1.6167E-05,8.0119E-06,-8.8309E-06
