Case =,Nom,,,,,,
Grid #,Type,X[m],Y[m],Z[m],RX[rad],RY[rad],Rz[rad]
100000,G,1.3698E-05,1.1632E-05,3.0600E-04,1.3023E-05,6.5712E-06,-8.6612E-06
100001,G,1.0813E-05,1.4469E-05,3.0135E-04,1.2424E-05,6.4669E-06,-8.6570E-06
100002,G,1.6868E-05,8.2272E-06,3.1046E-04,1.3624E-05,6.6728E-06,-8.6559E-06
100003,G,1.0041E-05,1.5181E-05,2.9999E-04,1.2188E-05,6.4290E-06,-8.6528E-06
100004,G,1.7828E-05,7.1416E-06,3.1171E-04,1.3845E-05,6.7078E-06,-8.6517E-06
100005,G,1.7344E-05,7.6909E-06,3.1109E-04,1.3725E-05,6.6936E-06,-8.6535E-06
100006,G,1.0424E-05,1.4831E-05,3.0067E-04,1.2318E-05,6.4449E-06,-8.6547E-06
100007,G,1.3482E-05,1.1852E-05,3.0568E-04,1.2985E-05,6.5642E-06,-8.6612E-06
100008,G,1.3915E-05,1.1408E-05,3.0633E-04,1.3062E-05,6.5801E-06,-8.6611E-06
100009,G,9.6632E-06,1.5522E-05,2.9931E-04,1.2043E-05,6.4121E-06,-8.6506E-06
100010,G,1.8317E-05,6.5784E-06,3.1233E-04,1.3972E-05,6.7230E-06,-8.6495E-06
100011,G,1.3268E-05,1.2070E-05,3.0535E-04,1.2948E-05,6.5581E-06,-8.6612E-06
100012,G,1.4133E-05,1.1181E-05,3.0665E-04,1.3099E-05,6.5848E-06,-8.6610E-06
100013,G,8.0388E-06,1.6943E-05,2.9625E-04,1.1124E-05,6.3852E-06,-8.6540E-06
100014,G,2.0599E-05,3.8522E-06,3.1509E-04,1.4462E-05,6.7424E-06,-8.6566E-06
100015,G,8.2134E-06,1.6793E-05,2.9658E-04,1.1239E-05,6.3314E-06,-8.6342E-06
100016,G,2.0338E-05,4.1721E-06,3.1478E-04,1.4463E-05,6.8037E-06,-8.6333E-06
100017,G,8.3894E-06,1.6638E-05,2.9693E-04,1.1467E-05,6.3620E-06,-8.6421E-06
100018,G,2.0080E-05,4.4910E-06,3.1448E-04,1.4303E-05,6.7681E-06,-8.6424E-06
100019,G,1.3055E-05,1.2286E-05,3.0502E-04,1.2908E-05,6.5480E-06,-8.6610E-06
100020,G,1.4353E-05,1.0952E-05,3.0697E-04,1.3139E-05,6.5954E-06,-8.6607E-06
100021,G,8.7450E-06,1.6330E-05,2.9760E-04,1.1624E-05,6.3728E-06,-8.6440E-06
100022,G,1.9570E-05,5.1051E-06,3.1387E-04,1.4261E-05,6.7582E-06,-8.6437E-06
100023,G,8.9253E-06,1.6174E-05,2.9794E-04,1.1702E-05,6.3788E-06,-8.6452E-06
100024,G,1.9316E-05,5.4070E-06,3.1357E-04,1.4232E-05,6.7533E-06,-8.6445E-06
100025,G,9.1073E-06,1.6014E-05,2.9829E-04,1.1803E-05,6.3867E-06,-8.6466E-06
100026,G,1.2843E-05,1.2498E-05,3.0469E-04,1.2869E-05,6.5417E-06,-8.6610E-06
100027,G,1.9065E-05,5.7053E-06,3.1326E-04,1.4154E-05,6.7458E-06,-8.6459E-06
100028,G,1.4575E-05,1.0719E-05,3.0730E-04,1.3178E-05,6.6014E-06,-8.6606E-06
100029,G,9.2906E-06,1.5852E-05,2.9863E-04,1.1882E-05,6.3979E-06,-8.6486E-06
100030,G,1.8815E-05,5.9997E-06,3.1295E-04,1.4103E-05,6.7354E-06,-8.6477E-06
100031,G,9.4755E-06,1.5688E-05,2.9897E-04,1.1970E-05,6.4038E-06,-8.6493E-06
100032,G,1.8566E-05,6.2905E-06,3.1264E-04,1.4028E-05,6.7302E-06,-8.6485E-06
100033,G,1.2634E-05,1.2708E-05,3.0436E-04,1.2830E-05,6.5356E-06,-8.6608E-06
100034,G,1.4798E-05,1.0483E-05,3.0762E-04,1.3218E-05,6.6075E-06,-8.6603E-06
100035,G,1.2425E-05,1.2914E-05,3.0403E-04,1.2791E-05,6.5270E-06,-8.6606E-06
100036,G,1.5022E-05,1.0245E-05,3.0794E-04,1.3257E-05,6.6160E-06,-8.6600E-06
100037,G,9.8498E-06,1.5353E-05,2.9965E-04,1.2113E-05,6.4230E-06,-8.6521E-06
100038,G,1.8074E-05,6.8612E-06,3.1202E-04,1.3909E-05,6.7129E-06,-8.6511E-06
100039,G,1.2218E-05,1.3118E-05,3.0370E-04,1.2747E-05,6.5223E-06,-8.6605E-06
100040,G,1.5248E-05,1.0003E-05,3.0826E-04,1.3301E-05,6.6204E-06,-8.6598E-06
100041,G,1.0230E-05,1.5007E-05,3.0033E-04,1.2242E-05,6.4435E-06,-8.6548E-06
100042,G,1.7588E-05,7.4175E-06,3.1140E-04,1.3794E-05,6.6940E-06,-8.6536E-06
100043,G,1.2013E-05,1.3319E-05,3.0336E-04,1.2709E-05,6.5074E-06,-8.6596E-06
100044,G,1.5475E-05,9.7589E-06,3.0858E-04,1.3340E-05,6.6350E-06,-8.6589E-06
100045,G,1.0617E-05,1.4650E-05,3.0101E-04,1.2361E-05,6.4511E-06,-8.6553E-06
100046,G,1.7106E-05,7.9619E-06,3.1078E-04,1.3683E-05,6.6880E-06,-8.6541E-06
100047,G,1.1809E-05,1.3518E-05,3.0303E-04,1.2663E-05,6.5058E-06,-8.6597E-06
100048,G,1.5704E-05,9.5114E-06,3.0889E-04,1.3386E-05,6.6363E-06,-8.6588E-06
