Case =,Hot,,,,,,
Grid #,Type,X[m],Y[m],Z[m],RX[rad],RY[rad],Rz[rad]
110000,G,4.2753E-05,3.7869E-06,1.1601E-04,8.8003E-07,1.3433E-05,-1.6977E-05
110001,G,4.2669E-05,3.3614E-06,1.1567E-04,5.8622E-06,1.4053E-05,-1.7033E-05
110002,G,4.2413E-05,4.2983E-06,1.1623E-04,4.3468E-06,1.1894E-05,-1.6999E-05
110003,G,4.2328E-05,3.8724E-06,1.1590E-04,7.0897E-06,1.4829E-05,-1.7012E-05
110004,G,4.2245E-05,3.4461E-06,1.1556E-04,3.4140E-06,1.2671E-05,-1.7006E-05
110005,G,4.3097E-05,3.2739E-06,1.1579E-04,3.7038E-06,1.2058E-05,-1.7007E-05
110006,G,4.3011E-05,2.8514E-06,1.1545E-04,4.0429E-06,1.4689E-05,-1.6976E-05
110007,G,4.2587E-05,2.9353E-06,1.1534E-04,5.0738E-06,1.2978E-05,-1.7005E-05
110008,G,4.2161E-05,3.0206E-06,1.1522E-04,4.3840E-06,1.4148E-05,-1.7011E-05
110009,G,4.2074E-05,4.8077E-06,1.1645E-04,5.7965E-06,1.1828E-05,-1.7023E-05
110010,G,4.1988E-05,4.3832E-06,1.1612E-04,5.3237E-06,1.4761E-05,-1.6994E-05
110011,G,4.1904E-05,3.9571E-06,1.1578E-04,3.0098E-06,1.2646E-05,-1.7008E-05
110012,G,4.1820E-05,3.5311E-06,1.1544E-04,5.7435E-06,1.4238E-05,-1.7012E-05
110013,G,4.1737E-05,3.1052E-06,1.1510E-04,4.7207E-06,1.2925E-05,-1.7010E-05
110014,G,4.3436E-05,2.7654E-06,1.1556E-04,6.0733E-06,1.1083E-05,-1.6989E-05
110015,G,4.3352E-05,2.3424E-06,1.1523E-04,5.9937E-06,1.5666E-05,-1.6969E-05
110016,G,4.2928E-05,2.4259E-06,1.1511E-04,3.7943E-06,1.2589E-05,-1.6999E-05
110017,G,4.2503E-05,2.5106E-06,1.1500E-04,5.3654E-06,1.3993E-05,-1.6998E-05
110018,G,4.2078E-05,2.5949E-06,1.1488E-04,3.9914E-06,1.2957E-05,-1.7007E-05
110019,G,4.1653E-05,2.6796E-06,1.1477E-04,5.1795E-06,1.3877E-05,-1.7010E-05
110020,G,4.1733E-05,5.3197E-06,1.1667E-04,4.7447E-06,1.5034E-05,-1.7030E-05
110021,G,4.1648E-05,4.8939E-06,1.1634E-04,3.8884E-06,1.2511E-05,-1.7032E-05
110022,G,4.1564E-05,4.4675E-06,1.1600E-04,4.2333E-06,1.4036E-05,-1.7017E-05
110023,G,4.1480E-05,4.0418E-06,1.1566E-04,5.9853E-06,1.3263E-05,-1.7012E-05
110024,G,4.1396E-05,3.6157E-06,1.1533E-04,3.8126E-06,1.3631E-05,-1.7013E-05
110025,G,4.1312E-05,3.1898E-06,1.1499E-04,4.7340E-06,1.3404E-05,-1.7014E-05
110026,G,4.1228E-05,2.7640E-06,1.1465E-04,4.1969E-06,1.3466E-05,-1.7013E-05
110027,G,4.3693E-05,1.8335E-06,1.1501E-04,9.0578E-06,1.5131E-05,-1.7026E-05
110028,G,4.3269E-05,1.9162E-06,1.1489E-04,1.5041E-06,1.1924E-05,-1.7002E-05
110029,G,4.2844E-05,2.0010E-06,1.1478E-04,7.2987E-06,1.4322E-05,-1.6997E-05
110030,G,4.2419E-05,2.0852E-06,1.1466E-04,2.4727E-06,1.3034E-05,-1.7002E-05
110031,G,4.1995E-05,2.1696E-06,1.1455E-04,6.3654E-06,1.3864E-05,-1.7005E-05
110032,G,4.1570E-05,2.2539E-06,1.1443E-04,3.2136E-06,1.3107E-05,-1.7009E-05
110033,G,4.1145E-05,2.3383E-06,1.1432E-04,5.8055E-06,1.3413E-05,-1.7012E-05
110034,G,4.1307E-05,5.4057E-06,1.1656E-04,4.9675E-06,1.4010E-05,-1.7049E-05
110035,G,4.1223E-05,4.9787E-06,1.1622E-04,5.4327E-06,1.3470E-05,-1.7032E-05
110036,G,4.1139E-05,4.5525E-06,1.1588E-04,5.1182E-06,1.3262E-05,-1.7026E-05
110037,G,4.1055E-05,4.1263E-06,1.1555E-04,3.7110E-06,1.3797E-05,-1.7021E-05
110038,G,4.0971E-05,3.7003E-06,1.1521E-04,5.3867E-06,1.3190E-05,-1.7018E-05
110039,G,4.0887E-05,3.2743E-06,1.1487E-04,4.5233E-06,1.3710E-05,-1.7017E-05
110040,G,4.0803E-05,2.8484E-06,1.1454E-04,5.0521E-06,1.3208E-05,-1.7016E-05
110041,G,4.0720E-05,2.4226E-06,1.1420E-04,3.6983E-06,1.3595E-05,-1.7015E-05
110042,G,4.3612E-05,1.4042E-06,1.1467E-04,-6.7867E-07,1.2691E-05,-1.7021E-05
110043,G,4.3185E-05,1.4912E-06,1.1456E-04,8.8639E-06,1.4707E-05,-1.7019E-05
110044,G,4.2761E-05,1.5755E-06,1.1444E-04,1.3633E-06,1.2702E-05,-1.7001E-05
110045,G,4.2336E-05,1.6599E-06,1.1433E-04,7.2324E-06,1.3771E-05,-1.7005E-05
110046,G,4.1911E-05,1.7441E-06,1.1421E-04,2.5178E-06,1.3040E-05,-1.7006E-05
110047,G,4.1486E-05,1.8284E-06,1.1410E-04,6.3289E-06,1.3627E-05,-1.7009E-05
110048,G,4.1061E-05,1.9127E-06,1.1398E-04,3.2619E-06,1.3368E-05,-1.7012E-05
110049,G,4.0636E-05,1.9969E-06,1.1387E-04,5.7569E-06,1.3207E-05,-1.7015E-05
110050,G,4.0967E-05,5.9186E-06,1.1677E-04,5.4190E-06,1.1364E-05,-1.7043E-05
110051,G,4.0882E-05,5.4906E-06,1.1644E-04,4.8833E-06,1.5064E-05,-1.7039E-05
110052,G,4.0798E-05,5.0639E-06,1.1610E-04,4.4155E-06,1.2470E-05,-1.7035E-05
110053,G,4.0714E-05,4.6372E-06,1.1576E-04,4.5009E-06,1.4180E-05,-1.7030E-05
110054,G,4.0630E-05,4.2109E-06,1.1543E-04,5.5152E-06,1.2923E-05,-1.7026E-05
110055,G,4.0546E-05,3.7847E-06,1.1509E-04,4.1282E-06,1.3919E-05,-1.7023E-05
110056,G,4.0462E-05,3.3586E-06,1.1476E-04,4.8601E-06,1.3045E-05,-1.7021E-05
110057,G,4.0378E-05,2.9326E-06,1.1442E-04,4.3118E-06,1.3761E-05,-1.7019E-05
110058,G,4.0295E-05,2.5068E-06,1.1408E-04,5.4237E-06,1.3097E-05,-1.7018E-05
110059,G,4.0211E-05,2.0810E-06,1.1375E-04,3.7270E-06,1.3618E-05,-1.7017E-05
110060,G,4.3955E-05,8.9388E-07,1.1445E-04,1.0423E-06,1.2731E-05,-1.6996E-05
110061,G,4.3528E-05,9.8151E-07,1.1434E-04,7.5375E-06,1.3593E-05,-1.7003E-05
110062,G,4.3103E-05,1.0653E-06,1.1423E-04,2.2282E-06,1.2224E-05,-1.7004E-05
110063,G,4.2678E-05,1.1502E-06,1.1411E-04,6.6708E-06,1.3880E-05,-1.7008E-05
110064,G,4.2253E-05,1.2344E-06,1.1399E-04,2.9146E-06,1.2975E-05,-1.7005E-05
110065,G,4.1828E-05,1.3187E-06,1.1388E-04,6.0379E-06,1.3602E-05,-1.7008E-05
110066,G,4.1403E-05,1.4029E-06,1.1376E-04,3.4483E-06,1.3134E-05,-1.7009E-05
110067,G,4.0978E-05,1.4871E-06,1.1365E-04,5.6150E-06,1.3335E-05,-1.7012E-05
110068,G,4.0553E-05,1.5712E-06,1.1353E-04,3.8139E-06,1.3463E-05,-1.7014E-05
110069,G,4.0128E-05,1.6552E-06,1.1342E-04,5.3151E-06,1.3095E-05,-1.7017E-05
110070,G,4.0541E-05,6.0026E-06,1.1666E-04,4.3695E-06,1.4631E-05,-1.7025E-05
110071,G,4.0457E-05,5.5753E-06,1.1632E-04,4.6706E-06,1.2349E-05,-1.7041E-05
110072,G,4.0373E-05,5.1485E-06,1.1598E-04,4.9478E-06,1.4595E-05,-1.7035E-05
110073,G,4.0289E-05,4.7218E-06,1.1565E-04,4.8898E-06,1.2422E-05,-1.7034E-05
110074,G,4.0205E-05,4.2953E-06,1.1531E-04,4.0685E-06,1.4337E-05,-1.7030E-05
110075,G,4.0121E-05,3.8691E-06,1.1497E-04,5.1481E-06,1.2700E-05,-1.7027E-05
110076,G,4.0037E-05,3.4429E-06,1.1464E-04,4.4713E-06,1.4044E-05,-1.7025E-05
110077,G,3.9953E-05,3.0168E-06,1.1430E-04,4.9663E-06,1.2887E-05,-1.7023E-05
110078,G,3.9870E-05,2.5909E-06,1.1397E-04,4.0096E-06,1.3819E-05,-1.7021E-05
110079,G,3.9703E-05,1.7392E-06,1.1330E-04,4.0533E-06,1.3630E-05,-1.7019E-05
110080,G,3.9786E-05,2.1650E-06,1.1363E-04,5.3814E-06,1.2981E-05,-1.7020E-05
110081,G,4.3870E-05,4.7333E-07,1.1412E-04,5.2147E-06,1.3491E-05,-1.6968E-05
110082,G,4.3446E-05,5.5578E-07,1.1401E-04,3.9687E-06,1.2887E-05,-1.6998E-05
110083,G,4.3020E-05,6.4060E-07,1.1389E-04,5.2798E-06,1.4025E-05,-1.7006E-05
110084,G,4.2595E-05,7.2478E-07,1.1378E-04,3.9976E-06,1.2751E-05,-1.7006E-05
