,Point ID,,X,Y,Z
GRID,100098,,5.44137E-01,1.45801E-01,4.51986E-01
GRID,100099,,5.51022E-01,1.17124E-01,4.51986E-01
GRID,100100,,5.56396E-01,8.81246E-02,4.51986E-01
GRID,100101,,5.60247E-01,5.88843E-02,4.51986E-01
GRID,100102,,5.62560E-01,2.94825E-02,4.51986E-01
GRID,100103,,5.63332E-01,2.4624-8,4.51986E-01
GRID,100104,,5.62560E-01,-2.94820E-02,4.51986E-01
GRID,100105,,5.60246E-01,-5.88840E-02,4.51986E-01
GRID,100106,,5.56397E-01,-8.81240E-02,4.51986E-01
GRID,100107,,5.51022E-01,-1.17123E-01,4.51986E-01
GRID,100108,,5.44137E-01,-1.45801E-01,4.51986E-01
GRID,100109,,5.35761E-01,-1.74079E-01,4.51986E-01
GRID,100110,,5.25916E-01,-2.01880E-01,4.51986E-01
GRID,100111,,5.14630E-01,-2.29128E-01,4.51986E-01
GRID,100112,,5.01933E-01,-2.55747E-01,4.51986E-01
GRID,100113,,4.87860E-01,-2.81666E-01,4.51986E-01
GRID,100114,,4.72450E-01,-3.06813E-01,4.51986E-01
GRID,100115,,4.55745E-01,-3.31118E-01,4.51986E-01
GRID,100116,,4.37792E-01,-3.54517E-01,4.51986E-01
GRID,100117,,4.18637E-01,-3.76943E-01,4.51986E-01
GRID,100118,,3.98336E-01,-3.98336E-01,4.51986E-01
GRID,100119,,4.87860E-01,2.81666E-01,4.51986E-01
GRID,100120,,4.72450E-01,3.06813E-01,4.51986E-01
GRID,100121,,4.55746E-01,3.31119E-01,4.51986E-01
GRID,100122,,4.37791E-01,3.54516E-01,4.51986E-01
GRID,100123,,4.18637E-01,3.76943E-01,4.51986E-01
GRID,100124,,3.98336E-01,3.98336E-01,4.51986E-01
GRID,100125,,3.76943E-01,-4.18637E-01,4.51986E-01
GRID,100126,,3.80065E-01,-4.22105E-01,4.51986E-01
GRID,100127,,3.85493E-01,-4.28133E-01,4.51986E-01
GRID,100128,,3.89768E-01,-4.32881E-01,4.51986E-01
GRID,100129,,3.76943E-01,4.18637E-01,4.51986E-01
GRID,100130,,3.80065E-01,4.22105E-01,4.51986E-01
GRID,100131,,3.85493E-01,4.28133E-01,4.51986E-01
GRID,100132,,3.89768E-01,4.32881E-01,4.51986E-01
GRID,100133,,4.82327E-01,2.78472E-01,4.51986E-01
GRID,100134,,4.96240E-01,2.52847E-01,4.51986E-01
GRID,100135,,5.08793E-01,2.26529E-01,4.51986E-01
GRID,100136,,5.19951E-01,1.99590E-01,4.51986E-01
GRID,100137,,5.29685E-01,1.72105E-01,4.51986E-01
GRID,100138,,5.37966E-01,1.44148E-01,4.51986E-01
GRID,100139,,5.44773E-01,1.15795E-01,4.51986E-01
GRID,100140,,5.50086E-01,8.71251E-02,4.51986E-01
GRID,100141,,5.53892E-01,5.82164E-02,4.51986E-01
GRID,100142,,5.56180E-01,2.91482E-02,4.51986E-01
GRID,100143,,5.56943E-01,2.4345-8,4.51986E-01
GRID,100144,,5.56180E-01,-2.91480E-02,4.51986E-01
GRID,100145,,5.53892E-01,-5.82160E-02,4.51986E-01
GRID,100146,,5.50086E-01,-8.71250E-02,4.51986E-01
GRID,100147,,5.44773E-01,-1.15795E-01,4.51986E-01
GRID,100148,,5.37966E-01,-1.44148E-01,4.51986E-01
